,clube,xGA_geral
0,Atlético-MG,0.9223812254001434
1,Palmeiras,1.0396915631510943
2,Cruzeiro,1.061694688442412
3,Bahia,1.102510148025849
4,Botafogo,1.1064979916142401
5,São Paulo,1.1846100761089455
6,Corinthians,1.1953806945154044
7,Athletico-PR,1.2153024069638132
8,Vasco,1.222014630913897
9,Cuiabá,1.2564980128514103
10,Fortaleza,1.2833038815920776
11,Bragantino,1.3386269173424181
12,Internacional,1.410914640124619
13,Santos,1.4148318050598536
14,Fluminense,1.4193307485553266
15,Coritiba,1.436502001995744
16,América-MG,1.4673048142037828
17,Goiás,1.5028120648777006
18,Flamengo,1.5885564600144906
19,Grêmio,1.6876724381981636
