,atleta_id,apelido,ranking
0,69318,Luis Suárez,1
1,79631,Cano,2
2,112140,Bitello,3
3,87342,Kannemann,4
4,87863,Arrascaeta,5
5,71684,Gustavo Gómez,6
6,89846,Cristaldo,7
7,94509,Raphael Veiga,8
8,73620,Bruno Alves,9
9,111578,António Oliveira,10
10,114802,Vitor Roque,11
11,83257,Gabriel,12
12,91708,Nino,13
13,95799,Artur,14
14,100830,Brenno,15
15,97145,Villasanti,16
16,84674,Lucas Evangelista,17
17,78850,Reinaldo,18
18,99815,Arias,19
19,96340,Lima,20
