,clube,P,GP,GC,SG,Fase,ranking
0,Botafogo,27,19,7,12,12,1
1,Palmeiras,22,22,9,13,8,2
2,Grêmio,20,17,16,1,12,3
3,Atlético-MG,19,15,9,6,9,4
4,Flamengo,19,21,15,6,10,5
5,Fluminense,18,17,12,5,5,6
6,São Paulo,18,17,12,5,9,7
7,Bragantino,17,19,14,5,10,8
8,Fortaleza,17,13,8,5,7,9
9,Internacional,17,11,13,-2,10,10
10,Athletico-PR,16,15,15,0,4,11
11,Cruzeiro,14,14,11,3,2,12
12,Santos,13,9,10,-1,3,13
13,Corinthians,12,11,15,-4,7,14
14,Bahia,12,12,16,-4,6,15
15,Cuiabá,12,9,15,-6,8,16
16,Goiás,11,10,18,-8,5,17
17,América-MG,8,12,25,-13,7,18
18,Vasco,6,10,20,-10,0,19
19,Coritiba,4,8,21,-13,2,20
