,clube,P,GP,GC,SG,Fase,ranking
0,Botafogo,15,13,6,7,12,1
1,Palmeiras,14,16,6,10,11,2
2,Fluminense,13,12,5,7,10,3
3,Cruzeiro,12,11,5,6,12,4
4,Athletico-PR,12,10,7,3,9,5
5,Fortaleza,10,9,4,5,9,6
6,Atlético-MG,10,9,5,4,10,7
7,Santos,10,8,5,3,10,8
8,São Paulo,9,8,4,4,9,9
9,Flamengo,9,12,9,3,6,10
10,Grêmio,8,7,9,-2,5,11
11,Bragantino,7,9,11,-2,4,12
12,Internacional,7,4,8,-4,6,13
13,Vasco,6,6,7,-1,3,14
14,Bahia,6,8,11,-3,6,15
15,Goiás,6,5,12,-7,6,16
16,Corinthians,5,6,11,-5,2,17
17,Cuiabá,4,5,12,-7,4,18
18,Coritiba,2,5,14,-9,2,19
19,América-MG,1,5,17,-12,1,20
