,clube,xG_mean,xG_total
0,Grêmio,1.5932272136947994,22.305180991727195
1,Palmeiras,1.5660757858704355,21.92506100218611
2,Fortaleza,1.483253220955173,20.765545093372406
3,Athletico-PR,1.4255469224568766,19.95765691439628
4,América-MG,1.3658870268829817,19.122418376361747
5,Atlético-MG,1.364191269809348,19.09867777733087
6,Cruzeiro,1.358952987711604,19.025341827962443
7,São Paulo,1.334174567258644,18.678443941621012
8,Bragantino,1.4212031997754349,18.475641597080656
9,Botafogo,1.314239719173937,18.399356068435118
10,Bahia,1.25293617425218,17.541106439530505
11,Flamengo,1.2386846850020266,17.341585590028373
12,Fluminense,1.211168994583495,16.956365924168935
13,Cuiabá,1.190222164210251,16.66311029894352
14,Coritiba,1.1597889184527819,16.23704485833895
15,Goiás,1.081176383822448,15.136469373514279
16,Internacional,1.0591505523831926,14.828107733364703
17,Vasco,1.0415076993482952,14.581107790876125
18,Corinthians,1.022398892993384,13.291185608913999
19,Santos,0.9457467510730534,13.240454515022746
