,clube,xP,ranking_xp
0,Atlético-MG,23.509999999999998,1
1,Palmeiras,23.41,2
2,Fortaleza,22.32,3
3,Cruzeiro,21.61,4
4,Bragantino,21.16,5
5,Botafogo,20.79,6
6,Athletico-PR,20.11,7
7,São Paulo,19.93,8
8,Bahia,19.56,9
9,Cuiabá,19.549999999999997,10
10,Grêmio,18.950000000000006,11
11,América-MG,18.14,12
12,Vasco,17.93,13
13,Fluminense,17.439999999999998,14
14,Coritiba,17.279999999999998,15
15,Internacional,16.779999999999998,16
16,Flamengo,16.62,17
17,Santos,16.14,18
18,Goiás,15.9,19
19,Corinthians,15.16,20
