,apelido,atleta_id,clube,posicao,media_casa,media_fora,adversário,mando,media_cedidos,XP_visitante
1525,Marlon,91706,Cruzeiro,LAT,7.48888888888889,12.416666666666664,Athletico-PR,visitante,2.375,7.395833333333332
1526,Rafael Navarro,105770,Palmeiras,ATA,1.8,9.8,América-MG,visitante,4.628571428571428,7.214285714285714
1527,Piquerez,102130,Palmeiras,LAT,3.116666666666667,8.2,América-MG,visitante,4.628571428571428,6.414285714285714
1528,Matheus Fernandes,94067,Bragantino,MEI,4.822222222222223,6.8,Fortaleza,visitante,5.9375,6.36875
1529,Eduardo Sasha,70360,Bragantino,ATA,5.366666666666667,6.3,Fortaleza,visitante,5.9375,6.11875
1530,Talisson,122393,Bragantino,ATA,3.8,0.0,Fortaleza,visitante,5.9375,5.9375
1531,Praxedes,107744,Bragantino,MEI,-0.1,0.0,Fortaleza,visitante,5.9375,5.9375
1532,Nathan Camargo,118175,Bragantino,MEI,0.5,0.0,Fortaleza,visitante,5.9375,5.9375
1533,Léo Ortiz,97867,Bragantino,ZAG,7.9,0.0,Fortaleza,visitante,5.9375,5.9375
1534,Juninho Capixaba,94968,Bragantino,LAT,8.025,5.771428571428571,Fortaleza,visitante,5.9375,5.854464285714286
1535,Villasanti,97145,Grêmio,MEI,6.642857142857143,5.85,Goiás,visitante,5.714285714285714,5.782142857142857
1536,Gerson,89256,Flamengo,MEI,4.75,7.683333333333333,Atlético-MG,visitante,3.857142857142857,5.770238095238095
1537,Darlan,104593,Grêmio,MEI,0.2,0.0,Goiás,visitante,5.714285714285714,5.714285714285714
1538,Freddy,126116,Grêmio,ATA,0.5,0.0,Goiás,visitante,5.714285714285714,5.714285714285714
1539,Brenno,100830,Grêmio,GOL,0.0,0.0,Goiás,visitante,5.714285714285714,5.714285714285714
1540,Iturbe,72134,Grêmio,ATA,1.7,0.0,Goiás,visitante,5.714285714285714,5.714285714285714
1541,Pepê,101573,Grêmio,MEI,10.5,0.0,Goiás,visitante,5.714285714285714,5.714285714285714
1542,Ronald,118238,Grêmio,MEI,9.0,0.0,Goiás,visitante,5.714285714285714,5.714285714285714
1543,Nathan Fernandes,124757,Grêmio,ATA,-0.3,0.0,Goiás,visitante,5.714285714285714,5.714285714285714
1544,Lian,124830,Grêmio,ATA,0.0,0.0,Goiás,visitante,5.714285714285714,5.714285714285714
1545,Natã,107801,Grêmio,ZAG,0.2,0.0,Goiás,visitante,5.714285714285714,5.714285714285714
1546,Lucas Evangelista,84674,Bragantino,MEI,5.6625,5.3428571428571425,Fortaleza,visitante,5.9375,5.640178571428571
1547,Aderlan,88423,Bragantino,LAT,5.45,5.333333333333333,Fortaleza,visitante,5.9375,5.635416666666666
1548,Bitello,112140,Grêmio,MEI,5.911111111111111,5.540000000000001,Goiás,visitante,5.714285714285714,5.627142857142857
1549,Thiago Borbas,117314,Bragantino,ATA,1.7142857142857142,5.083333333333334,Fortaleza,visitante,5.9375,5.510416666666667
1550,Cristaldo,89846,Grêmio,MEI,7.244444444444444,5.220000000000001,Goiás,visitante,5.714285714285714,5.467142857142857
1551,Rikelme,105547,Cuiabá,ATA,5.74,6.42,Internacional,visitante,4.5,5.46
1552,Gabriel Menino,103767,Palmeiras,MEI,2.6999999999999997,6.237499999999999,América-MG,visitante,4.628571428571428,5.4330357142857135
1553,Rayan,122486,Vasco,ATA,0.55,6.8,Corinthians,visitante,4.0,5.4
1554,Dudu,68920,Palmeiras,ATA,6.585714285714286,6.1000000000000005,América-MG,visitante,4.628571428571428,5.364285714285714
1555,Weverton,71631,Palmeiras,GOL,1.4375,6.071428571428571,América-MG,visitante,4.628571428571428,5.35
1556,Luan Cândido,100848,Bragantino,LAT,6.2,4.7,Fortaleza,visitante,5.9375,5.31875
1557,Ferreira,101290,Grêmio,ATA,0.25,4.9,Goiás,visitante,5.714285714285714,5.307142857142857
1558,Matheus Alexandre,103347,Cuiabá,LAT,3.3285714285714287,6.114285714285714,Internacional,visitante,4.5,5.307142857142857
1559,Artur,95799,Palmeiras,ATA,5.6875,5.942857142857142,América-MG,visitante,4.628571428571428,5.285714285714285
1560,Abel Ferreira,110506,Palmeiras,TEC,5.641249999999999,5.8875,América-MG,visitante,4.628571428571428,5.258035714285715
1561,Pedro Caixinha,117711,Bragantino,TEC,6.947777777777778,4.492857142857142,Fortaleza,visitante,5.9375,5.215178571428571
1562,Zé Rafael,82455,Palmeiras,MEI,3.599999999999999,5.685714285714285,América-MG,visitante,4.628571428571428,5.157142857142857
1563,António Oliveira,111578,Cuiabá,TEC,5.308,5.782,Internacional,visitante,4.5,5.141
1564,Gustavo Martins,111309,Grêmio,ZAG,2.25,4.566666666666666,Goiás,visitante,5.714285714285714,5.140476190476191
1565,Cuiabano,116065,Grêmio,LAT,1.4250000000000003,4.5,Goiás,visitante,5.714285714285714,5.107142857142858
1566,Bruno Rodrigues,92811,Cruzeiro,ATA,4.499999999999999,7.800000000000002,Athletico-PR,visitante,2.375,5.0875
1567,Renato Gaúcho,41929,Grêmio,TEC,6.644444444444444,4.288333333333333,Goiás,visitante,5.714285714285714,5.001309523809524
1568,Alef Manga,101254,Coritiba,ATA,7.159999999999999,7.18,Botafogo,visitante,2.75,4.965
1569,Luis Suárez,69318,Grêmio,ATA,11.4125,4.125,Goiás,visitante,5.714285714285714,4.919642857142858
1570,Andrey Santos,109591,Vasco,MEI,1.7,5.833333333333333,Corinthians,visitante,4.0,4.916666666666666
1571,Raniele,95556,Cuiabá,MEI,5.0875,5.185714285714285,Internacional,visitante,4.5,4.8428571428571425
1572,Deyverson,92708,Cuiabá,ATA,4.185714285714286,5.175,Internacional,visitante,4.5,4.8375
1573,Danilo Fernandes,69051,Bahia,GOL,-1.0,7.0,São Paulo,visitante,2.5625,4.78125
1574,João Lucas,104257,Santos,LAT,5.525,5.85,Fluminense,visitante,3.6875,4.76875
1575,Naves,115246,Palmeiras,ZAG,0.0,4.866666666666666,América-MG,visitante,4.628571428571428,4.747619047619047
1576,Everton Galdino,89918,Grêmio,ATA,2.18,3.7399999999999998,Goiás,visitante,5.714285714285714,4.727142857142857
1577,Marcos Rocha,63013,Palmeiras,LAT,2.0500000000000003,4.75,América-MG,visitante,4.628571428571428,4.689285714285714
1578,Walter,51413,Cuiabá,GOL,1.375,4.875,Internacional,visitante,4.5,4.6875
1579,Thiago Kosloski,125470,Coritiba,TEC,8.004999999999999,6.53,Botafogo,visitante,2.75,4.640000000000001
1580,Jailson,90290,Palmeiras,MEI,0.8,0.0,América-MG,visitante,4.628571428571428,4.628571428571428
1581,Neris,83786,Cruzeiro,ZAG,3.4,6.866666666666667,Athletico-PR,visitante,2.375,4.620833333333334
1582,Bruninho,113558,Bragantino,MEI,2.75,3.2999999999999994,Fortaleza,visitante,5.9375,4.6187499999999995
1583,Vitor Jacaré,101201,Bahia,ATA,5.5,6.666666666666667,São Paulo,visitante,2.5625,4.614583333333334
1584,Fábio,70172,Grêmio,LAT,2.0,3.5,Goiás,visitante,5.714285714285714,4.607142857142858
1585,Fernando Sobral,84428,Cuiabá,MEI,6.8,4.628571428571428,Internacional,visitante,4.5,4.564285714285714
1586,Gabriel Pec,106199,Vasco,ATA,4.299999999999999,5.116666666666665,Corinthians,visitante,4.0,4.558333333333333
1587,Arrascaeta,87863,Flamengo,MEI,7.55,5.242857142857143,Atlético-MG,visitante,3.857142857142857,4.55
1588,Gabriel,83257,Flamengo,ATA,5.1000000000000005,5.24,Atlético-MG,visitante,3.857142857142857,4.548571428571429
1589,Cleiton,93882,Bragantino,GOL,4.5285714285714285,3.1,Fortaleza,visitante,5.9375,4.51875
1590,Mayke,81150,Palmeiras,LAT,5.057142857142857,4.3999999999999995,América-MG,visitante,4.628571428571428,4.514285714285714
1591,Ivo Vieira,121593,Cuiabá,TEC,3.25,4.505000000000001,Internacional,visitante,4.5,4.5025
1592,Uendel,60852,Cuiabá,LAT,0.0,0.0,Internacional,visitante,4.5,4.5
