,clube,Média Geral,Ranking Geral,Média Mandante,Ranking Mandantes,Média Visitante,Ranking Visitantes
0,Botafogo,81.215,1,86.352,1,60.776666666666664,6
1,Cruzeiro,73.82666666666667,2,55.4525,14,87.69000000000001,1
2,Santos,73.48166666666667,3,82.6725,3,56.487500000000004,7
3,Palmeiras,71.93666666666667,4,68.685,9,70.86,2
4,Fortaleza,66.39,5,73.3475,5,66.3875,3
5,Flamengo,66.33666666666666,6,76.02,4,51.75333333333333,10
6,São Paulo,64.445,7,83.935,2,52.0375,9
7,Atlético-MG,63.99333333333334,8,61.915,12,66.12,4
8,Bragantino,60.879999999999995,9,65.402,10,46.22,13
9,Fluminense,57.79,10,72.99333333333334,6,65.202,5
10,Athletico-PR,55.82666666666666,11,69.2025,8,43.887499999999996,15
11,Grêmio,55.55500000000001,12,72.69250000000001,7,43.317499999999995,16
12,Internacional,52.751666666666665,13,63.36500000000001,11,47.537499999999994,12
13,Bahia,52.15166666666667,14,54.96,15,47.675000000000004,11
14,Cuiabá,45.93666666666667,15,39.415,19,52.510000000000005,8
15,Corinthians,45.18833333333333,16,60.175,13,31.667500000000004,20
16,Coritiba,41.690000000000005,17,43.82,17,36.965,18
17,Vasco,41.47333333333333,18,42.32666666666666,18,45.99799999999999,14
18,América-MG,40.14833333333333,19,36.522499999999994,20,40.255,17
19,Goiás,39.94833333333333,20,51.61333333333334,16,33.774,19
