,clube,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,Botafogo,74.06607142857143,1,88.53714285714287,1,59.595,4
1,Flamengo,70.61011904761905,2,85.42857142857143,2,55.791666666666664,7
2,Bragantino,65.2695238095238,3,77.51571428571428,3,53.02333333333333,9
3,Palmeiras,64.92630952380952,4,62.53833333333333,9,67.3142857142857,2
4,Cruzeiro,63.37773809523809,5,48.67714285714285,17,78.07833333333333,1
5,Fortaleza,62.07035714285715,6,65.97500000000001,7,58.16571428571428,6
6,Athletico-PR,61.32345238095239,7,73.78857142857144,5,48.85833333333333,13
7,Grêmio,61.0729761904762,8,76.17428571428572,4,45.97166666666667,14
8,Fluminense,59.501547619047614,9,60.211666666666666,10,58.79142857142857,5
9,Atlético-MG,58.716547619047624,10,57.731666666666676,12,59.70142857142857,3
10,São Paulo,58.1577380952381,11,70.98714285714286,6,45.32833333333334,15
11,Santos,56.845714285714294,12,63.541428571428575,8,50.150000000000006,11
12,Internacional,54.97559523809524,13,60.028333333333336,11,49.92285714285714,12
13,Bahia,53.842380952380964,14,55.391428571428584,13,52.293333333333344,10
14,Cuiabá,52.034285714285716,15,50.17000000000001,16,53.89857142857143,8
15,Goiás,46.01238095238095,16,52.42333333333334,15,39.60142857142857,19
16,Corinthians,45.83297619047619,17,53.681666666666665,14,37.98428571428571,20
17,Coritiba,44.59166666666667,18,47.50333333333333,18,41.68,18
18,América-MG,44.283928571428575,19,43.42285714285715,20,45.145,16
19,Vasco,43.53702380952381,20,43.94833333333333,19,43.12571428571429,17
