,clube,xG_mean,xG_total
0,Fortaleza,1.4583578542770201,23.33372566843232
1,Palmeiras,1.4343351187346793,22.949361899754873
2,Athletico-PR,1.3894044263081988,22.23047082093118
3,Grêmio,1.4690772874894147,22.036159312341223
4,Bragantino,1.3949678356305353,20.924517534458033
5,Cruzeiro,1.2716619083546887,20.346590533675023
6,Flamengo,1.261056471077308,20.176903537236925
7,Botafogo,1.2492880549479601,19.988608879167366
8,São Paulo,1.2312745964972176,19.70039354395548
9,Bahia,1.1924054359454945,19.078486975127916
10,América-MG,1.2693957039812138,19.040935559718218
11,Fluminense,1.185888230853793,18.974211693660695
12,Atlético-MG,1.1804967620408586,18.88794819265373
13,Cuiabá,1.064075773443156,17.025212375090494
14,Coritiba,1.0582177666200463,16.931484265920748
15,Goiás,1.038925640001793,16.622810240028688
16,Internacional,0.9975473667992645,15.960757868788232
17,Vasco,1.0112830942621243,15.169246413931866
18,Santos,0.9183839625814354,14.694143401302961
19,Corinthians,0.9217768459537333,12.904875843352261
