,clube,xGA_geral
0,Atlético-MG,0.8554162545794971
1,Palmeiras,1.0064956526309605
2,Cuiabá,1.0681979317388963
3,Cruzeiro,1.0767629689563276
4,Bahia,1.089425971836496
5,Botafogo,1.1092563334608871
6,São Paulo,1.1371808117411137
7,Bragantino,1.1430516459473408
8,Athletico-PR,1.148520618708847
9,Fortaleza,1.1779891410822438
10,Vasco,1.2346924753485689
11,Corinthians,1.245531979364824
12,Goiás,1.250177450765914
13,Fluminense,1.2744627704217861
14,Santos,1.277188050145237
15,América-MG,1.278161019689335
16,Internacional,1.2801754308391908
17,Coritiba,1.352455937884709
18,Flamengo,1.516122444667057
19,Grêmio,1.5528087591976067
