,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate,sg_mandante_total,sg_visitante_total,sg_total
0,Santos,11.0,Corinthians,1.1912974316780103,0.9955904341653734,40.15,30.96,28.88,25.4,19.6,11.19,36.589999999999996,30.79,67.38
1,Cuiabá,11.0,Botafogo,1.286882778001,1.0320346581399733,42.22,30.19,27.59,25.64,17.77,9.79,35.43,27.56,62.989999999999995
2,Fluminense,11.0,Atlético-MG,1.1883386633654807,1.1045422984023685,37.59,34.38,28.04,22.88,20.82,10.12,33.0,30.939999999999998,63.94
3,Coritiba,11.0,Internacional,1.3074419729532116,1.137276038258795,40.61,32.56,26.82,23.43,18.48,8.21,31.64,26.69,58.33
4,Vasco,11.0,Goiás,1.54082677356788,1.2654596801289397,44.19,31.06,24.75,22.71,15.55,6.25,28.96,21.8,50.760000000000005
5,Bahia,11.0,Palmeiras,1.401678869796175,1.3011850853654399,39.68,34.09,26.23,20.8,17.48,6.94,27.740000000000002,24.42,52.160000000000004
6,São Paulo,11.0,Athletico-PR,1.5495877892482925,1.3027494114934737,43.22,31.92,24.86,21.68,15.24,5.9,27.58,21.14,48.72
7,Grêmio,11.0,América-MG,1.6318972485944356,1.3829249314428538,43.51,32.51,23.98,20.72,14.42,4.98,25.7,19.4,45.099999999999994
8,Bragantino,11.0,Flamengo,1.563576622414905,1.3615757189513606,41.98,33.42,24.6,20.09,15.75,5.27,25.36,21.02,46.379999999999995
9,Cruzeiro,11.0,Fortaleza,1.6180412666768524,1.6119794463789674,38.64,38.45,22.91,16.09,16.37,3.91,20.0,20.28,40.28
