,clube,P,GP,GC,SG,Fase,ranking
0,Botafogo,9,7,4,3,9,1
1,Fortaleza,7,8,3,5,7,2
2,Palmeiras,7,6,4,2,7,3
3,Internacional,7,4,2,2,7,4
4,Fluminense,6,7,4,3,6,5
5,Cruzeiro,6,5,2,3,6,6
6,Grêmio,6,3,2,1,6,7
7,São Paulo,4,5,3,2,4,8
8,Vasco,4,4,4,0,4,9
9,Atlético-MG,4,3,3,0,4,10
10,Santos,4,3,3,0,4,11
11,Bragantino,4,3,5,-2,4,12
12,Flamengo,3,6,5,1,3,13
13,Athletico-PR,3,3,4,-1,3,14
14,Goiás,3,3,4,-1,3,15
15,Bahia,3,3,4,-1,3,16
16,Corinthians,3,4,6,-2,3,17
17,Cuiabá,1,3,5,-2,1,18
18,Coritiba,1,1,7,-6,1,19
19,América-MG,0,2,9,-7,0,20
