,rodada_id,mandante,visitante,prob_mandante_media,prob_empate_media,prob_visitante_media,prob_sg_mandante_media,prob_sg_visitante_media
0,16.0,Flamengo,América-MG,61.79278047391645,21.89396823776947,17.30432721857377,28.039729426846506,8.978779549124422
1,16.0,Palmeiras,Fortaleza,46.82040753182276,28.77389613982521,25.403108126276802,33.563902601359494,21.56245939751212
2,16.0,Bahia,Corinthians,40.50656102754862,30.537274383090562,29.958969895891126,32.96996917263224,27.55993522255949
3,16.0,Cuiabá,São Paulo,32.63471408091268,32.04832956857753,36.350930459885994,29.10033069677506,32.97732055493975
4,16.0,Grêmio,Atlético-MG,39.855529189507365,29.711510401829404,31.453293920333323,25.82863424617823,21.14573742831188
5,16.0,Santos,Botafogo,24.8788908254848,26.333222967838264,49.82065346908961,20.538735908150414,39.798108662014116
6,16.0,Bragantino,Internacional,49.21654835628063,29.07865147536545,22.702881872987135,38.68998955719969,18.989591333270944
7,16.0,Cruzeiro,Goiás,53.58706078135591,27.74877233342906,19.64443208999735,39.55864558038436,17.90573601067039
8,16.0,Vasco,Athletico-PR,31.669598755406906,30.572881044998315,38.76346947733192,24.21641781824257,29.965138836265723
9,16.0,Coritiba,Fluminense,28.82873524536105,28.789922389897672,43.422905840819055,18.974945369815977,29.36084868367733
