,clube,Goal_casa,GoalA_casa,Goal_fora,GoalA_fora,Goal_geral,GoalA_geral,Goal_diff_casa,Goal_diff_fora,Goal_diff_geral
0,Palmeiras,2.0,0.5,3.0,1.0,2.5,0.75,1.5,2.0,1.75
1,Fortaleza,2.5,1.5,2.0,0.5,2.25,1.0,1.0,1.5,1.25
2,Botafogo,2.0,0.5,2.5,1.5,2.25,1.0,1.5,1.0,1.25
3,Cruzeiro,1.5,0.5,2.0,0.5,1.75,0.5,1.0,1.5,1.25
4,São Paulo,2.5,0.0,1.0,1.5,1.75,0.75,2.5,-0.5,1.0
5,Fluminense,1.5,0.5,2.5,2.0,2.0,1.25,1.0,0.5,0.75
6,Flamengo,2.5,1.5,1.0,1.5,1.75,1.5,1.0,-0.5,0.25
7,Grêmio,2.0,1.5,1.0,1.0,1.5,1.25,0.5,0.0,0.25
8,Internacional,1.5,0.5,0.5,1.5,1.0,1.0,1.0,-1.0,0.0
9,Bahia,1.5,1.5,1.0,1.0,1.25,1.25,0.0,0.0,0.0
10,Vasco,1.0,1.5,1.5,1.0,1.25,1.25,-0.5,0.5,0.0
11,Santos,1.5,1.0,0.5,1.5,1.0,1.25,0.5,-1.0,-0.25
12,Athletico-PR,1.5,0.5,0.5,2.0,1.0,1.25,1.0,-1.5,-0.25
13,Atlético-MG,1.5,1.5,0.0,1.0,0.75,1.25,0.0,-1.0,-0.5
14,Bragantino,1.0,2.0,2.0,2.0,1.5,2.0,-1.0,0.0,-0.5
15,Cuiabá,1.0,1.5,1.0,1.5,1.0,1.5,-0.5,-0.5,-0.5
16,Corinthians,1.0,1.0,0.5,2.5,0.75,1.75,0.0,-2.0,-1.0
17,Goiás,1.5,2.5,0.0,1.5,0.75,2.0,-1.0,-1.5,-1.25
18,Coritiba,0.5,2.0,0.5,2.5,0.5,2.25,-1.5,-2.0,-1.75
19,América-MG,0.5,2.0,1.0,3.0,0.75,2.5,-1.5,-2.0,-1.75
