,clube,xG_total,xGA_total,xG_saldo
0,Palmeiras,21.9250610021861,14.621515162509588,7.303545839676513
1,Atlético-MG,19.09867777733087,13.303415758530829,5.795262018800042
2,Athletico-PR,19.957656914396278,15.798122891068182,4.159534023328096
3,Fortaleza,20.765545093372417,16.792754522391235,3.972790570981182
4,Cruzeiro,19.025341827962457,15.171017848399014,3.8543239795634427
5,Bragantino,18.475641597080653,15.90386359096059,2.571778006120063
6,São Paulo,18.678443941621012,16.55050412554923,2.1279398160717804
7,Cuiabá,16.66311029894351,15.724870749054615,0.9382395498888965
8,Bahia,17.541106439530516,16.613711557742796,0.9273948817877198
9,Botafogo,18.399356068435118,17.54909127867457,0.8502647897605478
10,América-MG,19.122418376361736,18.66753209068688,0.45488628567485634
11,Grêmio,22.30518099172719,22.524135178573168,-0.218954186845977
12,Vasco,14.581107790876136,17.258096289869712,-2.676988498993577
13,Fluminense,16.956365924168924,20.04783352767041,-3.091467603501485
14,Coritiba,16.237044858338948,19.749896405429144,-3.5128515470901966
15,Flamengo,17.341585590028373,21.442016935593514,-4.100431345565141
16,Santos,13.240454515022746,17.39112758105941,-4.150673066036665
17,Internacional,14.8281077333647,19.226622005948798,-4.398514272584098
18,Corinthians,13.291185608913992,18.624406967501418,-5.333221358587426
19,Goiás,15.136469373514274,20.60932725596284,-5.472857882448565
