,clube,P
0,Palmeiras,62.51342251530091
1,Flamengo,61.254192001785064
2,Atlético-MG,60.04825096276205
3,Athletico-PR,59.59205200154454
4,São Paulo,57.644636807775065
5,Botafogo,57.4016794730713
6,Fluminense,55.95284006625716
7,Cruzeiro,55.93176577995774
8,Grêmio,55.332862408983026
9,Santos,54.42430813980105
10,Corinthians,51.8511420481788
11,Internacional,51.8219610994108
12,Bragantino,50.60340647666876
13,Fortaleza,49.53484244950701
14,Goiás,43.89673366681231
15,Bahia,43.36916300425008
16,Vasco,43.2671952477625
17,Coritiba,38.34145226345588
18,Cuiabá,37.56265779094488
19,América-MG,29.09210941940991
