,apelido,atleta_id,clube,posicao,media_casa,media_fora,adversário,mando,media_cedidos,XP_mandante
1465,Moisés,104666,Fortaleza,ATA,11.766666666666667,1.0666666666666667,Bragantino,mandante,3.642857142857143,7.704761904761905
1466,Di Placido,98605,Botafogo,LAT,9.925,4.571428571428571,Coritiba,mandante,4.125,7.025
1467,Lúcio Flávio,103582,Botafogo,TEC,9.73,0.0,Coritiba,mandante,4.125,6.9275
1468,Júlio,113295,América-MG,ZAG,9.7,0.0,Palmeiras,mandante,4.125,6.9125
1469,Calleri,89840,São Paulo,ATA,8.214285714285712,4.133333333333334,Bahia,mandante,5.4375,6.825892857142856
1470,Tiquinho Soares,84042,Botafogo,ATA,9.485714285714284,9.15,Coritiba,mandante,4.125,6.805357142857142
1471,Alexandre Pato,49675,São Paulo,ATA,8.0,0.0,Bahia,mandante,5.4375,6.71875
1472,Luciano,80287,São Paulo,ATA,7.6,2.071428571428571,Bahia,mandante,5.4375,6.51875
1473,Marcelo,38402,Fluminense,LAT,8.0,5.3,Santos,mandante,4.571428571428571,6.285714285714286
1474,Bruno Lage,105631,Botafogo,TEC,8.41,4.99,Coritiba,mandante,4.125,6.2675
1475,Víctor Cuesta,79113,Botafogo,ZAG,8.1875,3.8333333333333335,Coritiba,mandante,4.125,6.15625
1476,Dorival Júnior,40990,São Paulo,TEC,6.875,3.8400000000000003,Bahia,mandante,5.4375,6.15625
1477,Patryck,106829,São Paulo,LAT,6.800000000000001,7.15,Bahia,mandante,5.4375,6.11875
1478,Hugo,109668,Botafogo,LAT,8.1,7.075,Coritiba,mandante,4.125,6.1125
1479,Sander,86391,Goiás,LAT,7.371428571428571,5.166666666666667,Grêmio,mandante,4.833333333333333,6.102380952380952
1480,Luís Castro,88037,Botafogo,TEC,8.055,5.578333333333333,Coritiba,mandante,4.125,6.09
1481,David,90309,São Paulo,ATA,6.625,0.55,Bahia,mandante,5.4375,6.03125
1482,Vitor Roque,114802,Athletico-PR,ATA,9.512500000000001,7.314285714285714,Cruzeiro,mandante,2.2857142857142856,5.899107142857144
1483,Lucas Perri,91260,Botafogo,GOL,7.625,5.9375,Coritiba,mandante,4.125,5.875
1484,Marçal,97468,Botafogo,LAT,7.550000000000001,5.1499999999999995,Coritiba,mandante,4.125,5.8375
1485,Raí Ramos,90232,São Paulo,LAT,6.1,3.233333333333333,Bahia,mandante,5.4375,5.76875
1486,Tinga,82628,Fortaleza,LAT,7.733333333333334,3.7166666666666663,Bragantino,mandante,3.642857142857143,5.688095238095238
1487,Cantillo,85315,Corinthians,MEI,8.9,0.0,Vasco,mandante,2.4285714285714284,5.664285714285715
1488,Róger Guedes,89898,Corinthians,ATA,8.666666666666668,5.800000000000001,Vasco,mandante,2.4285714285714284,5.547619047619048
1489,Bruno Pacheco,90061,Fortaleza,LAT,7.375,5.257142857142857,Bragantino,mandante,3.642857142857143,5.508928571428571
1490,Arboleda,91573,São Paulo,ZAG,5.58,3.033333333333333,Bahia,mandante,5.4375,5.50875
1491,Alexsander,118774,Fluminense,LAT,6.2,4.766666666666667,Santos,mandante,4.571428571428571,5.385714285714286
1492,Zé Ricardo,102911,Goiás,MEI,5.916666666666667,4.228571428571429,Grêmio,mandante,4.833333333333333,5.375
1493,Hulk,39148,Atlético-MG,ATA,9.040000000000001,7.377777777777778,Flamengo,mandante,1.5,5.2700000000000005
1494,Lucas Beraldo,112136,São Paulo,ZAG,5.1,2.725,Bahia,mandante,5.4375,5.26875
1495,Nathan Mendes,113157,São Paulo,LAT,5.0,5.966666666666666,Bahia,mandante,5.4375,5.21875
1496,Eduardo,68708,Botafogo,MEI,6.300000000000001,4.74,Coritiba,mandante,4.125,5.2125
