,apelido,atleta_id,clube,posicao,media_casa,media_fora
0,Abel Ferreira,110506,Palmeiras,TEC,4.266666666666667,5.64
1,Acevedo,104783,Bahia,MEI,3.9,2.6999999999999997
2,Ademir,101314,Bahia,ATA,2.433333333333333,2.6
3,Aderlan,88423,Bragantino,LAT,6.1,11.8
4,Adryelson,91664,Botafogo,ZAG,6.3,5.8999999999999995
5,Adson,111682,Corinthians,MEI,1.5,3.033333333333333
6,Alan Empereur,88033,Cuiabá,ZAG,-0.3,2.766666666666667
7,Alan Franco,99889,São Paulo,ZAG,4.85,0.0
8,Alan Kardec,50347,Atlético-MG,ATA,-0.15000000000000002,4.55
9,Alan Patrick,68685,Internacional,MEI,0.3999999999999999,1.2
10,Alef Manga,101254,Coritiba,ATA,6.3,9.45
11,Alemão,98219,Internacional,ATA,2.3,6.65
12,Alerrandro,101715,Bragantino,ATA,11.5,0.35
13,Alesson,97321,Goiás,ATA,4.3500000000000005,-0.05
14,Alex,101600,Santos,ZAG,-0.1,0.0
15,Alex Santana,85465,Athletico-PR,MEI,3.6,2.1
16,Alex Teixeira,60793,Vasco,MEI,2.2333333333333334,4.4
17,Alexandre Pato,49675,São Paulo,ATA,8.0,0.0
18,Alisson,81845,São Paulo,MEI,2.05,1.7333333333333334
19,Alisson,125469,Atlético-MG,ATA,-0.3,-1.3
20,Allan,96652,Flamengo,MEI,2.1,-0.4
21,Allano,87391,Goiás,ATA,5.3,-0.8
22,Allyson,124340,Cuiabá,ZAG,5.0,3.2
23,Aloísio,73850,América-MG,ATA,0.6000000000000001,1.5
24,Alê,86388,América-MG,MEI,-0.1,2.9
25,Anderson Oliveira,102096,Goiás,ATA,1.9,1.6
26,Andrey,93787,Coritiba,MEI,2.5666666666666664,0.8666666666666666
27,Andrey Santos,109591,Vasco,MEI,0.3,0.0
28,André,107498,Fluminense,MEI,2.533333333333333,2.6999999999999997
29,André,121792,Grêmio,ATA,3.2249999999999996,0.0
30,Andrés Hurtado,110715,Bragantino,LAT,4.6,2.45
31,António Oliveira,111578,Cuiabá,TEC,5.57,4.420000000000001
32,Antônio Carlos Zago,69029,Coritiba,TEC,4.57,3.78
33,Apodi,51042,Goiás,LAT,3.05,2.8
34,Arboleda,91573,São Paulo,ZAG,4.500000000000001,2.9333333333333336
35,Arias,99815,Fluminense,MEI,5.25,3.9666666666666663
36,Armando Evangelista,125081,Goiás,TEC,4.845,5.157500000000001
37,Arrascaeta,87863,Flamengo,MEI,8.4,4.15
38,Arriagada,108624,Athletico-PR,ATA,0.3,1.8
39,Arthur Sales,111771,Bahia,ATA,9.8,0.8
40,Artur,95799,Palmeiras,ATA,2.8333333333333335,3.8333333333333335
41,Aránguiz,69325,Internacional,MEI,1.55,1.05
42,Ayrton Lucas,88393,Flamengo,LAT,5.133333333333334,1.0333333333333332
43,Battaglia,94845,Atlético-MG,MEI,1.0333333333333334,2.8666666666666667
44,Bento,105208,Athletico-PR,GOL,8.35,6.175
45,Benítez,93550,América-MG,MEI,3.7,3.85
46,Bitello,112140,Grêmio,MEI,5.25,4.8
47,Boschilia,86841,Coritiba,MEI,0.75,1.0
48,Brenno,100830,Grêmio,GOL,0.0,0.0
49,Breno,122991,América-MG,MEI,1.6,2.15
50,Breno Lopes,93988,Palmeiras,ATA,12.7,4.925
51,Bruninho,113558,Bragantino,MEI,1.7000000000000002,4.1
52,Bruno Alves,73620,Grêmio,ZAG,3.2249999999999996,0.0
53,Bruno Gomes,106202,Coritiba,MEI,4.45,3.95
54,Bruno Henrique,90285,Flamengo,ATA,5.2,1.0666666666666667
55,Bruno Lage,105631,Botafogo,TEC,8.41,4.99
56,Bruno Melo,84339,Goiás,ZAG,2.733333333333333,3.533333333333333
57,Bruno Mezenga,37865,Santos,ATA,-0.7000000000000001,0.3
58,Bruno Méndez,103700,Corinthians,ZAG,0.0,3.9333333333333336
59,Bruno Pacheco,90061,Fortaleza,LAT,5.800000000000001,4.75
60,Bruno Rodrigues,92811,Cruzeiro,ATA,4.05,5.8999999999999995
61,Bruno Santos,122668,Goiás,LAT,0.2,2.6
62,Bruno Tabata,107174,Palmeiras,MEI,0.0,1.3
63,Bruno Uvini,70221,Grêmio,ZAG,3.366666666666667,2.7
64,Bruno Viana,92291,Coritiba,ZAG,-0.5,1.4
65,Brítez,101995,Fortaleza,ZAG,5.050000000000001,2.525
66,Bustos,96678,Internacional,LAT,6.366666666666667,5.733333333333333
67,Caetano,103575,Corinthians,ZAG,0.0,4.8
68,Caio Alexandre,106323,Fortaleza,MEI,2.9000000000000004,3.133333333333333
69,Caio Paulista,102318,São Paulo,LAT,1.1666666666666667,2.7
70,Calebe,109461,Fortaleza,MEI,1.7,2.55
71,Calleri,89840,São Paulo,ATA,8.466666666666667,2.6
72,Cano,79631,Fluminense,ATA,4.2749999999999995,3.9
73,Canobbio,102928,Athletico-PR,ATA,3.1666666666666665,1.75
74,Capasso,112913,Vasco,ZAG,-1.4,2.0500000000000003
75,Carabajal,98723,Vasco,MEI,0.25,1.2
76,Carballo,91254,Grêmio,MEI,3.266666666666667,0.65
77,Carlos Alberto,106704,Botafogo,ATA,4.85,4.7
78,Carlos de Pena,87242,Internacional,MEI,4.85,0.2
79,Cauly,123360,Bahia,MEI,3.325,1.95
80,Ceppelini,72762,Cuiabá,MEI,5.0,0.8666666666666667
81,Christian,104502,Athletico-PR,MEI,2.3333333333333335,6.0
82,Cicinho,61106,Bahia,LAT,4.8,2.4
83,Clayson,83817,Cuiabá,ATA,5.699999999999999,0.5
84,Cleiton,93882,Bragantino,GOL,7.0,4.166666666666667
85,Cristaldo,89846,Grêmio,MEI,6.050000000000001,6.800000000000001
86,Cuello,98909,Athletico-PR,ATA,1.2333333333333334,2.1999999999999997
87,Cuiabano,116065,Grêmio,LAT,0.8333333333333334,1.2000000000000002
88,Cássio,42234,Corinthians,GOL,1.5,8.5
89,Daniel,93791,Bahia,MEI,0.85,0.7
90,Daniel Junior,116432,Cruzeiro,MEI,1.0,0.0
91,Danilo Avelar,72142,América-MG,ZAG,4.75,8.4
92,Danilo Barbosa,86777,Botafogo,MEI,1.45,1.25
93,Danilo Fernandes,69051,Bahia,GOL,-1.0,7.0
94,David,90309,São Paulo,ATA,6.0,0.35
95,David Braz,50317,Fluminense,ZAG,3.1666666666666665,-1.1
96,David Duarte,91772,Bahia,ZAG,1.7,0.0
97,David Luiz,52827,Flamengo,ZAG,5.233333333333333,1.8333333333333333
98,Deivid Washington,124251,Santos,ATA,0.0,4.8
99,Denilson,115986,Cuiabá,MEI,6.0,1.8333333333333333
100,Deyverson,92708,Cuiabá,ATA,7.666666666666667,5.733333333333333
101,Di Placido,98605,Botafogo,LAT,11.333333333333334,7.733333333333333
102,Diego Costa,101728,São Paulo,ZAG,0.9,3.4000000000000004
103,Diego Gonçalves,90540,Goiás,ATA,-1.0,1.8
104,Diego Rosa,107796,Bahia,MEI,1.2,0.0
105,Diogo Batista,113384,Coritiba,LAT,5.15,3.6500000000000004
106,Diogo Oliveira,125992,Coritiba,ATA,7.4,0.0
107,Dodi,89883,Santos,MEI,1.9000000000000001,1.2999999999999998
108,Dodô,68727,Santos,LAT,2.9,2.9
109,Dodô,107375,Goiás,MEI,5.75,0.0
110,Dorival Júnior,40990,São Paulo,TEC,5.84,3.4433333333333334
111,Dudu,68920,Palmeiras,ATA,6.6,2.1999999999999997
112,Edenílson,63289,Atlético-MG,MEI,0.8333333333333334,3.3000000000000003
113,Edu,105842,Goiás,ZAG,1.7,0.0
114,Eduardo,68708,Botafogo,MEI,5.733333333333333,5.9
115,Eduardo Coudet,94853,Atlético-MG,TEC,4.33,6.26
116,Eduardo Santos,106434,Bragantino,ZAG,9.133333333333333,2.65
117,Eduardo Sasha,70360,Bragantino,ATA,5.5249999999999995,7.699999999999999
118,Eguinaldo,118708,Vasco,ATA,-0.1,0.0
119,Emerson Ramon,112370,Cuiabá,ATA,1.2000000000000002,1.7
120,Emerson Ávila,50456,Goiás,TEC,6.27,0.0
121,Emmanuel Martínez,103388,América-MG,MEI,2.75,6.3
122,Endrick,115959,Palmeiras,ATA,-0.15,4.675
123,Enner Valencia,70788,Internacional,ATA,2.0,4.3
124,Eric Ramires,103295,Bragantino,MEI,4.175,3.7999999999999994
125,Erick,98022,Athletico-PR,MEI,8.1,3.8499999999999996
126,Erick Marcus,121184,Vasco,ATA,1.5,3.2
127,Erick Pulgar,91473,Flamengo,MEI,1.9,4.05
128,Erison,108422,São Paulo,ATA,3.0,3.9
129,Esquivel,110668,Athletico-PR,LAT,7.6,3.8
130,Everaldo,78117,Bahia,ATA,0.625,0.7
131,Everaldo,91151,América-MG,ATA,4.25,3.25
132,Everson,72294,Atlético-MG,GOL,0.8333333333333334,2.5
133,Everton,86757,Flamengo,ATA,10.2,4.95
134,Everton Ribeiro,51772,Flamengo,MEI,2.8333333333333335,3.975
135,Fabinho,111760,Palmeiras,MEI,0.0,0.35
136,Fabrício Bruno,90768,Flamengo,ZAG,7.1,0.7666666666666666
137,Fagner,42500,Corinthians,LAT,2.75,7.233333333333334
138,Falcão,73580,Santos,TEC,3.71,0.0
139,Fausto Vera,107950,Corinthians,MEI,6.4,2.0
140,Felipe Andrade,111839,Fluminense,ZAG,1.9333333333333333,0.0
141,Felipe Augusto,111408,Corinthians,ATA,0.1,-0.3
142,Felipe Azevedo,60825,América-MG,ATA,4.0,4.65
143,Felipe Melo,38545,Fluminense,MEI,0.8,-0.5
144,Fernandinho,72775,Athletico-PR,MEI,2.25,0.6
145,Fernando Diniz,72391,Fluminense,TEC,5.1875,3.4533333333333336
146,Fernando Sobral,84428,Cuiabá,MEI,5.7,3.466666666666667
147,Ferreira,101290,Grêmio,ATA,0.25,4.9
148,Figueiredo,106201,Vasco,MEI,4.233333333333333,2.3
149,Filipe Augusto,79268,Cuiabá,MEI,-0.15000000000000002,1.1666666666666667
150,Filipe Luís,38750,Flamengo,LAT,5.8,4.55
151,Flaco López,113103,Palmeiras,ATA,0.7,-0.15
152,Fransérgio,63024,Coritiba,MEI,1.4,2.5
153,Freddy,126116,Grêmio,ATA,0.5,0.0
154,Fábio,37656,Fluminense,GOL,4.75,2.3333333333333335
155,Gabriel,70449,Coritiba,GOL,6.666666666666667,5.5
156,Gabriel,78605,Internacional,MEI,0.0,0.0
157,Gabriel,83257,Flamengo,ATA,4.8,1.4
158,Gabriel,98976,São Paulo,MEI,4.7,0.0
159,Gabriel Grando,112616,Grêmio,GOL,5.0,0.0
160,Gabriel Inocêncio,93702,Santos,LAT,3.1666666666666665,1.9000000000000001
161,Gabriel Menino,103767,Palmeiras,MEI,0.75,6.4
162,Gabriel Moscardo,125487,Corinthians,MEI,1.7,3.6
163,Gabriel Pec,106199,Vasco,ATA,3.325,3.2
164,Gabriel Pirani,110607,Fluminense,MEI,7.8,0.04999999999999993
165,Gabriel Xavier,105373,Bahia,ZAG,6.4,1.5499999999999998
