,clube,xGA_geral
0,Atlético-MG,0.9091911370695329
1,Palmeiras,0.9948263493186651
2,Athletico-PR,1.1085292895037973
3,Cruzeiro,1.1449195485433588
4,Bahia,1.1619549165998895
5,Corinthians,1.235168205008385
6,Flamengo,1.2548752748103889
7,Botafogo,1.2900552977757291
8,Santos,1.322348033353753
9,Cuiabá,1.3791923154438044
10,Vasco,1.4155695542774325
11,São Paulo,1.4198903555664952
12,Coritiba,1.4527389206578505
13,Bragantino,1.4609816717471327
14,Fortaleza,1.4790230337574617
15,Internacional,1.511271927062313
16,Fluminense,1.5502851901065995
17,América-MG,1.5650268489162764
18,Goiás,1.5692280264905951
19,Grêmio,2.0039110595157448
