,apelido,atleta_id,clube,posicao,media_casa,media_fora
242,Lucas Pires,114374,Santos,LAT,7.566666666666666,3.55
243,Lucas Piton,105584,Vasco,LAT,4.15,1.5399999999999998
244,Lucas Ramos,106000,Internacional,MEI,0.0,0.0
245,Lucas Silva,79701,Grêmio,MEI,0.9,1.4
246,Lucca,122420,Internacional,ATA,0.6,-0.43333333333333335
247,Lucero,105568,Fortaleza,ATA,1.1,0.6333333333333334
248,Luciano,80287,São Paulo,ATA,5.699999999999999,1.5333333333333332
249,Luciano Castán,68942,Cruzeiro,ZAG,2.25,2.1666666666666665
250,Luis Guilherme,123713,Palmeiras,MEI,2.2,0.7
251,Luis Henrique,105049,Botafogo,ATA,2.2199999999999998,0.25
252,Luis Suárez,69318,Grêmio,ATA,11.549999999999999,5.7
253,Luiz Adriano,72772,Internacional,ATA,5.266666666666667,3.075
254,Luís Castro,88037,Botafogo,TEC,8.441999999999998,3.47
255,Léo,85626,Vasco,ZAG,-0.04999999999999999,0.44000000000000006
256,Léo Jardim,87008,Vasco,GOL,-2.0,2.1
257,Léo Pereira,83528,Flamengo,ZAG,6.925000000000001,0.5
258,Machado,96089,Cruzeiro,MEI,2.75,4.833333333333333
259,Madson,78077,Athletico-PR,LAT,1.1,-0.30000000000000004
260,Maguinho,72532,Goiás,LAT,4.75,4.033333333333333
261,Maicon,71227,Santos,ZAG,8.6,0.0
262,Mano Menezes,37281,Internacional,TEC,5.03,3.6725000000000003
263,Manoel,69014,Fluminense,ZAG,2.5,1.866666666666667
264,Marcelino Moreno,88857,Coritiba,MEI,3.533333333333333,3.033333333333333
265,Marcelo,38402,Fluminense,LAT,7.2,6.0
266,Marcelo Rangel,82730,Goiás,GOL,-1.0,2.0
267,Marcinho,93797,América-MG,LAT,1.05,0.2
268,Marcos Felipe,85004,Bahia,GOL,1.75,2.3333333333333335
269,Marcos Paulo,103645,São Paulo,ATA,4.725,1.8666666666666665
270,Marcos Vinícius,97969,Coritiba,LAT,-1.0,0.8500000000000001
271,Mariano,38877,Atlético-MG,LAT,2.8000000000000003,2.1
272,Marllon,70666,Cuiabá,ZAG,1.9999999999999998,2.925
273,Marlon,86864,América-MG,LAT,4.733333333333333,0.0
