,clube,xGA_geral
0,Atlético-MG,0.6208739320069041
1,Palmeiras,0.8765476852951823
2,Bahia,0.9096394912388857
3,Cruzeiro,1.0286232178833163
4,Goiás,1.0389929138519531
5,Corinthians,1.100900619566817
6,Bragantino,1.2430120074130244
7,Athletico-PR,1.2535257207862234
8,Cuiabá,1.3558194710918867
9,Coritiba,1.3955180883366765
10,Fortaleza,1.4243771419083273
11,Santos,1.4330233127518563
12,Flamengo,1.4393740678933413
13,Fluminense,1.6512293583233588
14,Vasco,1.6834435270639185
15,São Paulo,1.6949231011592354
16,América-MG,1.735553403397235
17,Internacional,1.8067337705856044
18,Grêmio,1.8204140694467008
19,Botafogo,1.9330725259233306
