,clube,P,GP,GC,SG,Fase,ranking
0,Botafogo,18,14,6,8,12,1
1,Palmeiras,15,16,6,10,11,2
2,Fluminense,13,12,6,6,7,3
3,Atlético-MG,13,11,6,5,12,4
4,São Paulo,12,12,6,6,9,5
5,Cruzeiro,12,11,6,5,9,6
6,Flamengo,12,13,9,4,9,7
7,Athletico-PR,12,10,9,1,9,8
8,Santos,11,8,5,3,10,9
9,Grêmio,11,10,10,0,8,10
10,Fortaleza,10,10,6,4,6,11
11,Bragantino,10,11,11,0,6,12
12,Bahia,7,9,12,-3,7,13
13,Cuiabá,7,6,12,-6,6,14
14,Internacional,7,5,11,-6,3,15
15,Goiás,7,6,13,-7,4,16
16,Vasco,6,8,11,-3,2,17
17,Corinthians,5,6,12,-6,2,18
18,América-MG,4,7,18,-11,4,19
19,Coritiba,2,6,16,-10,2,20
