,apelido,atleta_id,clube,posicao,media_casa,media_fora,adversário,mando,media_cedidos,XP_visitante
1050,Alê,86388,América-MG,MEI,0.5000000000000001,14.8,Bragantino,visitante,7.0,10.9
1051,Everaldo,91151,América-MG,ATA,5.6,9.7,Bragantino,visitante,7.0,8.35
1052,Calleri,89840,São Paulo,ATA,8.2,10.1,Fortaleza,visitante,6.5,8.3
1053,Gabriel Pec,106199,Vasco,ATA,8.7,9.549999999999999,Coritiba,visitante,7.0,8.274999999999999
1054,Léo Jardim,87008,Vasco,GOL,4.0,7.5,Coritiba,visitante,7.0,7.25
1055,Andrey Santos,109591,Vasco,MEI,2.4,7.45,Coritiba,visitante,7.0,7.225
1056,Matheus Cavichioli,72580,América-MG,GOL,3.85,0.0,Bragantino,visitante,7.0,7.0
1057,Wellington Paulista,38279,América-MG,ATA,2.9,0.0,Bragantino,visitante,7.0,7.0
1058,Mateus Gonçalves,103076,América-MG,ATA,-0.5,0.0,Bragantino,visitante,7.0,7.0
1059,Carabajal,98723,Vasco,MEI,1.6,0.0,Coritiba,visitante,7.0,7.0
1060,Erick Marcus,121184,Vasco,ATA,1.2,0.0,Coritiba,visitante,7.0,7.0
1061,Orellano,110776,Vasco,MEI,1.95,0.0,Coritiba,visitante,7.0,7.0
1062,Galarza,108528,Vasco,MEI,0.0,0.0,Coritiba,visitante,7.0,7.0
1063,Capasso,112913,Vasco,ZAG,0.0,0.0,Coritiba,visitante,7.0,7.0
1064,Marcinho,93797,América-MG,LAT,2.3,0.0,Bragantino,visitante,7.0,7.0
1065,Rodrigo Nestor,106822,São Paulo,MEI,2.4000000000000004,7.3999999999999995,Fortaleza,visitante,6.5,6.949999999999999
1066,John Kennedy,110759,Fluminense,ATA,0.65,12.15,Cruzeiro,visitante,1.5,6.825
1067,Thaciano,87470,Bahia,MEI,5.2,9.75,Santos,visitante,3.5,6.625
1068,Patryck,106829,São Paulo,LAT,5.9,0.0,Fortaleza,visitante,6.5,6.5
1069,Caio Paulista,102318,São Paulo,LAT,8.15,6.3500000000000005,Fortaleza,visitante,6.5,6.425000000000001
1070,Marcos Paulo,103645,São Paulo,ATA,4.7,6.15,Fortaleza,visitante,6.5,6.325
1071,Marlon,86864,América-MG,LAT,-0.1499999999999999,5.45,Bragantino,visitante,7.0,6.225
1072,Vitor Jacaré,101201,Bahia,ATA,5.699999999999999,8.65,Santos,visitante,3.5,6.075
1073,Danilo Avelar,72142,América-MG,ZAG,-1.6,5.0,Bragantino,visitante,7.0,6.0
1074,Maurício Barbieri,82792,Vasco,TEC,3.705,4.87,Coritiba,visitante,7.0,5.9350000000000005
1075,Pedro Raul,98225,Vasco,ATA,5.1000000000000005,4.8,Coritiba,visitante,7.0,5.9
1076,Samuel Xavier,73384,Fluminense,LAT,3.85,10.2,Cruzeiro,visitante,1.5,5.85
1077,Dorival Júnior,40990,São Paulo,TEC,8.3,4.85,Fortaleza,visitante,6.5,5.675
1078,Matheusinho,93886,América-MG,MEI,0.5,4.2,Bragantino,visitante,7.0,5.6
1079,Vagner Mancini,39850,América-MG,TEC,2.705,4.125,Bragantino,visitante,7.0,5.5625
1080,Aloísio,73850,América-MG,ATA,14.3,4.1,Bragantino,visitante,7.0,5.55
1081,Luciano,80287,São Paulo,ATA,7.35,4.5,Fortaleza,visitante,6.5,5.5
1082,Jair,81091,Vasco,MEI,1.9,3.9000000000000004,Coritiba,visitante,7.0,5.45
1083,Marcos Felipe,85004,Bahia,GOL,1.0,7.25,Santos,visitante,3.5,5.375
1084,Rwan,115404,Vasco,ATA,-0.6,3.5,Coritiba,visitante,7.0,5.25
1085,Rodrigo,111766,Vasco,MEI,0.0,3.3499999999999996,Coritiba,visitante,7.0,5.175
