,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate,sg_mandante_total,sg_visitante_total,sg_total
0,Athletico-PR,6.0,Coritiba,0.9643283751334079,0.8142099612084719,38.26,29.38,32.37,28.13,21.27,16.59,44.72,37.86,82.58
1,Vasco,6.0,Santos,1.1948327316273661,0.9869373224889912,40.24,30.21,29.54,25.5,19.1,11.42,36.92,30.520000000000003,67.44
2,Goiás,6.0,Botafogo,1.7131691965625988,1.1524523926426806,50.54,25.39,24.07,26.16,12.19,5.88,32.04,18.07,50.11
3,Bahia,6.0,Flamengo,1.2213410589937015,1.2951678973424687,34.27,39.0,26.73,19.0,22.02,8.06,27.060000000000002,30.08,57.14
4,América-MG,6.0,Cruzeiro,1.3317438604588714,1.2310306420573207,38.59,35.07,26.33,21.37,18.82,7.81,29.18,26.63,55.81
5,Fluminense,6.0,Cuiabá,1.795680690042769,1.3220850220932028,49.3,28.07,22.62,22.76,11.84,4.22,26.98,16.06,43.04
6,Corinthians,6.0,São Paulo,1.4574588193048914,1.4166083838970245,37.93,36.91,25.16,18.83,17.8,5.76,24.589999999999996,23.560000000000002,48.15
7,Grêmio,6.0,Fortaleza,1.6102166454954077,1.713935899729542,36.19,40.71,23.11,14.19,16.7,3.56,17.75,20.259999999999998,38.01
8,Atlético-MG,6.0,Internacional,1.799117186880693,1.6160005950353604,42.68,34.38,22.95,16.11,13.3,3.26,19.369999999999997,16.560000000000002,35.93
9,Palmeiras,6.0,Bragantino,1.8297036657097,1.9692247085141672,36.94,41.71,21.36,11.64,13.49,2.31,13.950000000000001,15.8,29.75
