,clube,Goal_casa,GoalA_casa,Goal_fora,GoalA_fora,Goal_geral,GoalA_geral,Goal_diff_casa,Goal_diff_fora,Goal_diff_geral
0,Palmeiras,2.5,1.0,3.0,1.0,2.75,1.0,1.5,2.0,1.75
1,Botafogo,2.3333333333333335,0.3333333333333333,2.0,1.6666666666666667,2.166666666666667,1.0,2.0,0.33333333333333326,1.166666666666667
2,Fluminense,1.6666666666666667,0.3333333333333333,2.3333333333333335,1.3333333333333333,2.0,0.8333333333333333,1.3333333333333335,1.0000000000000002,1.1666666666666667
3,Cruzeiro,1.0,1.0,2.6666666666666665,0.3333333333333333,1.8333333333333333,0.6666666666666666,0.0,2.333333333333333,1.1666666666666665
4,São Paulo,2.5,0.0,0.75,1.0,1.625,0.5,2.5,-0.25,1.125
5,Fortaleza,1.6666666666666667,1.0,1.3333333333333333,0.3333333333333333,1.5,0.6666666666666666,0.6666666666666667,1.0,0.8333333333333334
6,Atlético-MG,1.6666666666666667,1.0,1.3333333333333333,0.6666666666666666,1.5,0.8333333333333333,0.6666666666666667,0.6666666666666666,0.6666666666666667
7,Flamengo,2.3333333333333335,1.0,1.6666666666666667,1.6666666666666667,2.0,1.3333333333333335,1.3333333333333335,0.0,0.6666666666666665
8,Santos,2.0,0.6666666666666666,0.6666666666666666,1.0,1.3333333333333333,0.8333333333333333,1.3333333333333335,-0.33333333333333337,0.5
9,Athletico-PR,2.0,1.0,1.0,1.3333333333333333,1.5,1.1666666666666665,1.0,-0.33333333333333326,0.3333333333333335
10,Vasco,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.0,1.0,1.1666666666666665,-0.6666666666666666,0.33333333333333326,-0.16666666666666652
11,Bragantino,1.3333333333333333,2.0,1.6666666666666667,1.6666666666666667,1.5,1.8333333333333335,-0.6666666666666667,0.0,-0.3333333333333335
12,Grêmio,1.3333333333333333,1.0,1.0,2.0,1.1666666666666665,1.5,0.33333333333333326,-1.0,-0.3333333333333335
13,Bahia,1.6666666666666667,2.0,0.6666666666666666,1.6666666666666667,1.1666666666666667,1.8333333333333335,-0.33333333333333326,-1.0,-0.6666666666666667
14,Internacional,1.0,1.0,0.3333333333333333,1.6666666666666667,0.6666666666666666,1.3333333333333335,0.0,-1.3333333333333335,-0.6666666666666669
15,Goiás,1.6666666666666667,2.0,0.0,1.6666666666666667,0.8333333333333334,1.8333333333333335,-0.33333333333333326,-1.6666666666666667,-1.0
16,Corinthians,1.0,1.0,0.3333333333333333,2.6666666666666665,0.6666666666666666,1.8333333333333333,0.0,-2.333333333333333,-1.1666666666666665
17,Coritiba,0.6666666666666666,1.6666666666666667,1.0,2.6666666666666665,0.8333333333333333,2.1666666666666665,-1.0,-1.6666666666666665,-1.3333333333333333
18,Cuiabá,0.6666666666666666,2.3333333333333335,1.0,2.0,0.8333333333333333,2.166666666666667,-1.666666666666667,-1.0,-1.3333333333333337
19,América-MG,0.3333333333333333,2.6666666666666665,1.3333333333333333,2.6666666666666665,0.8333333333333333,2.6666666666666665,-2.333333333333333,-1.3333333333333333,-1.8333333333333333
