,apelido,atleta_id,clube,posicao,media_casa,media_fora,adversário,mando,media_cedidos,XP_visitante
1106,Lucas Piton,105584,Vasco,LAT,1.35,5.0,Fluminense,visitante,1.5,3.25
1107,Matheus Fernandes,94067,Bragantino,MEI,7.800000000000001,2.4,Grêmio,visitante,4.0,3.2
1108,Messias,87402,Santos,ZAG,5.3,2.4,Cruzeiro,visitante,4.0,3.2
1109,Soteldo,87258,Santos,ATA,7.7,2.4,Cruzeiro,visitante,4.0,3.2
1110,Abel Ferreira,110506,Palmeiras,TEC,5.955,5.21,Goiás,visitante,1.0,3.105
1111,Mateusinho,111879,Cuiabá,LAT,9.649999999999999,-0.8,América-MG,visitante,7.0,3.1
1112,Ayrton Lucas,88393,Flamengo,LAT,8.95,3.1,Athletico-PR,visitante,0.0,3.1
1113,Natanael,107554,Coritiba,LAT,10.600000000000001,3.1,Bahia,visitante,3.0,3.05
1114,Antônio Carlos Zago,69029,Coritiba,TEC,5.25,0.0,Bahia,visitante,3.0,3.0
1115,Thiago Galhardo,71844,Fortaleza,ATA,5.1,0.0,Corinthians,visitante,3.0,3.0
1116,Willian Farias,63058,Coritiba,MEI,2.35,0.0,Bahia,visitante,3.0,3.0
1117,Boschilia,86841,Coritiba,MEI,4.1,0.0,Bahia,visitante,3.0,3.0
1118,Everson,72294,Atlético-MG,GOL,-0.25,7.0,Botafogo,visitante,-1.0,3.0
1119,Lucero,105568,Fortaleza,ATA,2.6,0.0,Corinthians,visitante,3.0,3.0
1120,José Welison,86859,Fortaleza,MEI,-0.3,0.0,Corinthians,visitante,3.0,3.0
1121,Bruno Viana,92291,Coritiba,ZAG,2.65,0.0,Bahia,visitante,3.0,3.0
1122,Gustavo Vilar,111644,Coritiba,ZAG,0.0,0.0,Bahia,visitante,3.0,3.0
1123,Rodrigo,111766,Vasco,MEI,0.0,4.3,Fluminense,visitante,1.5,2.9
1124,Igor Gomes,104385,Internacional,ZAG,5.2,2.9,São Paulo,visitante,0.0,2.9
1125,Sorriso,111333,Bragantino,ATA,1.2,1.7,Grêmio,visitante,4.0,2.85
1126,Pochettino,99267,Fortaleza,MEI,3.0999999999999996,2.5,Corinthians,visitante,3.0,2.75
1127,Dodi,89883,Santos,MEI,0.35000000000000003,1.4,Cruzeiro,visitante,4.0,2.7
1128,Liziero,100761,Coritiba,MEI,1.4,2.4,Bahia,visitante,3.0,2.7
1129,Eduardo Coudet,94853,Atlético-MG,TEC,4.85,6.23,Botafogo,visitante,-1.0,2.615
1130,Jadsom Silva,103695,Bragantino,MEI,-0.25,1.2,Grêmio,visitante,4.0,2.6
1131,Lucas Lima,80583,Santos,MEI,4.9,1.2,Cruzeiro,visitante,4.0,2.6
1132,Bruno Mezenga,37865,Santos,ATA,0.0,1.2,Cruzeiro,visitante,4.0,2.6
1133,William Pottker,77809,Coritiba,ATA,0.5,2.1,Bahia,visitante,3.0,2.55
1134,Juninho Capixaba,94968,Bragantino,LAT,1.55,1.1,Grêmio,visitante,4.0,2.55
1135,Rodrigo Fernández,99214,Santos,MEI,2.85,1.1,Cruzeiro,visitante,4.0,2.55
1136,Everton Ribeiro,51772,Flamengo,MEI,3.6,2.5,Athletico-PR,visitante,0.0,2.5
1137,Gabriel,83257,Flamengo,ATA,5.65,2.5,Athletico-PR,visitante,0.0,2.5
1138,Ângelo,110415,Santos,ATA,2.9,1.0,Cruzeiro,visitante,4.0,2.5
1139,Helinho,102598,Bragantino,ATA,0.55,0.9,Grêmio,visitante,4.0,2.45
1140,Fabinho,111760,Palmeiras,MEI,0.8,3.8,Goiás,visitante,1.0,2.4
1141,Thiago Maia,89637,Flamengo,MEI,3.35,2.4,Athletico-PR,visitante,0.0,2.4
1142,Rodrigo Pinho,86799,Coritiba,ATA,2.25,1.7,Bahia,visitante,3.0,2.35
1143,Romarinho,84523,Fortaleza,ATA,0.0,1.7,Corinthians,visitante,3.0,2.35
1144,Victor Luis,86410,Coritiba,LAT,2.4,1.7,Bahia,visitante,3.0,2.35
1145,Andrey,93787,Coritiba,MEI,0.25,1.6,Bahia,visitante,3.0,2.3
1146,Miguelito,115025,Santos,MEI,2.0,0.5,Cruzeiro,visitante,4.0,2.25
1147,Daniel Ruiz,116672,Santos,MEI,2.75,0.5,Cruzeiro,visitante,4.0,2.25
1148,Mauricio Lemos,87853,Atlético-MG,ZAG,6.25,5.5,Botafogo,visitante,-1.0,2.25
1149,Kaio César,118844,Coritiba,ATA,3.0,1.5,Bahia,visitante,3.0,2.25
1150,Hércules,116447,Fortaleza,MEI,7.949999999999999,1.4,Corinthians,visitante,3.0,2.2
1151,Natan,107110,Bragantino,ZAG,2.3499999999999996,0.4,Grêmio,visitante,4.0,2.2
1152,Saravia,96725,Atlético-MG,LAT,3.05,5.3,Botafogo,visitante,-1.0,2.15
1153,Alef Manga,101254,Coritiba,ATA,8.45,1.3,Bahia,visitante,3.0,2.15
1154,Eric Ramires,103295,Bragantino,MEI,-1.2,0.2,Grêmio,visitante,4.0,2.1
1155,Léo Pereira,83528,Flamengo,ZAG,16.65,2.1,Athletico-PR,visitante,0.0,2.1
1156,Moisés,104666,Fortaleza,ATA,16.3,1.2,Corinthians,visitante,3.0,2.1
1157,Laquintana,103014,Bragantino,ATA,3.4,0.1,Grêmio,visitante,4.0,2.05
1158,Gabriel,70449,Coritiba,GOL,3.0,1.0,Bahia,visitante,3.0,2.0
1159,Jemerson,84263,Atlético-MG,ZAG,4.2,5.0,Botafogo,visitante,-1.0,2.0
1160,Gustavo Garcia,107225,Palmeiras,LAT,0.9,3.0,Goiás,visitante,1.0,2.0
1161,Henry Mosquera,124239,Bragantino,ATA,2.0,-0.2,Grêmio,visitante,4.0,1.9
1162,Richard Ríos,107111,Palmeiras,MEI,0.0,2.7,Goiás,visitante,1.0,1.85
1163,Edenílson,63289,Atlético-MG,MEI,2.6,4.7,Botafogo,visitante,-1.0,1.85
1164,Bruno Fuchs,104085,Atlético-MG,ZAG,0.0,4.7,Botafogo,visitante,-1.0,1.85
1165,Kuscevic,98619,Coritiba,ZAG,1.75,0.6,Bahia,visitante,3.0,1.8
1166,Gustavo Gómez,71684,Palmeiras,ZAG,1.2999999999999998,2.6,Goiás,visitante,1.0,1.8
1167,Gustavinho,122394,Bragantino,MEI,2.5,-0.6,Grêmio,visitante,4.0,1.7
1168,Robson,84817,Coritiba,ATA,0.44999999999999996,0.4,Bahia,visitante,3.0,1.7
1169,Zaracho,100079,Atlético-MG,MEI,-0.09999999999999999,4.3,Botafogo,visitante,-1.0,1.65
1170,Zé Rafael,82455,Palmeiras,MEI,6.949999999999999,2.3,Goiás,visitante,1.0,1.65
1171,Galarza,108528,Vasco,MEI,0.0,0.0,Fluminense,visitante,1.5,1.5
1172,Hulk,39148,Atlético-MG,ATA,12.850000000000001,4.0,Botafogo,visitante,-1.0,1.5
1173,Orellano,110776,Vasco,MEI,1.95,0.0,Fluminense,visitante,1.5,1.5
1174,Figueiredo,106201,Vasco,MEI,0.9,0.0,Fluminense,visitante,1.5,1.5
1175,Erick Marcus,121184,Vasco,ATA,1.2,0.0,Fluminense,visitante,1.5,1.5
1176,Carabajal,98723,Vasco,MEI,1.6,0.0,Fluminense,visitante,1.5,1.5
1177,Capasso,112913,Vasco,ZAG,0.0,0.0,Fluminense,visitante,1.5,1.5
1178,Rwan,115404,Vasco,ATA,-0.6,0.0,Fluminense,visitante,1.5,1.5
1179,Marlon Gomes,111769,Vasco,MEI,2.8499999999999996,1.4,Fluminense,visitante,1.5,1.45
1180,Fabrício Bruno,90768,Flamengo,ZAG,6.95,1.4,Athletico-PR,visitante,0.0,1.4
1181,Calebe,109461,Fortaleza,MEI,4.4,-0.2,Corinthians,visitante,3.0,1.4
1182,Lucas Sasha,68991,Fortaleza,MEI,2.6500000000000004,-0.3,Corinthians,visitante,3.0,1.35
1183,Pedro Raul,98225,Vasco,ATA,5.1000000000000005,1.1,Fluminense,visitante,1.5,1.3
1184,Paulinho,99818,Atlético-MG,ATA,5.85,3.6,Botafogo,visitante,-1.0,1.3
1185,Robson Bambu,101579,Vasco,ZAG,1.65,0.9,Fluminense,visitante,1.5,1.2
1186,José López,113103,Palmeiras,ATA,9.7,1.4,Goiás,visitante,1.0,1.2
1187,Vitão,97900,Internacional,ZAG,3.9000000000000004,1.2,São Paulo,visitante,0.0,1.2
1188,Mariano,38877,Atlético-MG,LAT,1.05,3.1,Botafogo,visitante,-1.0,1.05
