,apelido,atleta_id,clube,posicao,media_casa,media_fora,adversário,mando,media_cedidos,XP_visitante
1270,Marlon,91706,Cruzeiro,LAT,6.640000000000001,15.024999999999999,Bahia,visitante,2.0,8.5125
1271,Cuiabano,116065,Grêmio,LAT,3.2,11.1,Flamengo,visitante,2.2,6.65
1272,John Kennedy,110759,Fluminense,ATA,1.2666666666666666,7.175,Goiás,visitante,4.625,5.9
1273,João Lucas,104257,Santos,LAT,5.0,6.8,Coritiba,visitante,4.875,5.8375
1274,Rafael Navarro,105770,Palmeiras,ATA,1.8,9.8,São Paulo,visitante,1.75,5.775
1275,Gabriel Inocêncio,93702,Santos,LAT,5.220000000000001,6.433333333333334,Coritiba,visitante,4.875,5.654166666666667
1276,Bruno Rodrigues,92811,Cruzeiro,ATA,4.859999999999999,9.225000000000001,Bahia,visitante,2.0,5.612500000000001
1277,Piquerez,102130,Palmeiras,LAT,3.266666666666667,9.333333333333334,São Paulo,visitante,1.75,5.541666666666667
1278,Thiago Borbas,117314,Bragantino,ATA,2.45,8.0,Atlético-MG,visitante,3.0,5.5
1279,Fábio,37656,Fluminense,GOL,4.0,6.3,Goiás,visitante,4.625,5.4625
1280,Marcos Leonardo,109497,Santos,ATA,6.75,5.95,Coritiba,visitante,4.875,5.4125
1281,Marcelo,38402,Fluminense,LAT,7.2,6.0,Goiás,visitante,4.625,5.3125
1282,João Paulo,85425,Santos,GOL,5.4,5.625,Coritiba,visitante,4.875,5.25
1283,Fernando Miguel,71571,Fortaleza,GOL,1.5,9.0,Botafogo,visitante,1.5,5.25
1284,Fernando Diniz,72391,Fluminense,TEC,6.319999999999999,5.802000000000001,Goiás,visitante,4.625,5.213500000000001
1285,António Oliveira,111578,Cuiabá,TEC,4.26,7.824999999999999,Corinthians,visitante,2.5,5.1625
1286,Dodi,89883,Santos,MEI,2.3600000000000003,5.400000000000001,Coritiba,visitante,4.875,5.137500000000001
1287,Guga,101319,Fluminense,LAT,3.033333333333333,5.380000000000001,Goiás,visitante,4.625,5.0025
1288,Nathan,107676,Santos,LAT,3.0,5.033333333333334,Coritiba,visitante,4.875,4.9541666666666675
1289,Gilberto,61188,Cruzeiro,ATA,2.3,7.9,Bahia,visitante,2.0,4.95
1290,Odair Hellmann,92273,Santos,TEC,6.636,4.9375,Coritiba,visitante,4.875,4.90625
1291,Dudu,68920,Palmeiras,ATA,6.58,8.05,São Paulo,visitante,1.75,4.9
1292,Pepa,123907,Cruzeiro,TEC,4.502,7.765000000000001,Bahia,visitante,2.0,4.8825
1293,Samuel Xavier,73384,Fluminense,LAT,3.1999999999999997,5.133333333333333,Goiás,visitante,4.625,4.879166666666666
1294,Luan Dias,107416,Santos,MEI,-1.6,0.0,Coritiba,visitante,4.875,4.875
1295,Alison,73974,Santos,MEI,1.9000000000000001,0.0,Coritiba,visitante,4.875,4.875
1296,Ivonei,105899,Santos,MEI,0.0,0.0,Coritiba,visitante,4.875,4.875
1297,Vinícius Balieiro,110605,Santos,MEI,-0.3,0.0,Coritiba,visitante,4.875,4.875
1298,Maicon,71227,Santos,ZAG,8.6,0.0,Coritiba,visitante,4.875,4.875
