,clube,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,Botafogo,75.99785714285714,1,88.53714285714287,1,63.458571428571425,3
1,Flamengo,69.00928571428571,2,85.42857142857143,2,52.589999999999996,9
2,Bragantino,65.34729166666666,3,77.67125,3,53.02333333333333,8
3,Fortaleza,63.50714285714285,4,68.84857142857143,7,58.16571428571428,6
4,Palmeiras,63.186428571428564,5,59.058571428571426,11,67.3142857142857,2
5,Cruzeiro,61.472142857142856,6,48.67714285714286,17,74.26714285714286,1
6,Fluminense,61.35785714285714,7,63.92428571428571,9,58.79142857142857,5
7,São Paulo,60.03142857142858,8,70.98714285714286,6,49.07571428571429,11
8,Athletico-PR,59.524285714285725,9,73.78857142857144,4,45.26,15
9,Grêmio,58.94395833333334,10,71.91625,5,45.97166666666667,14
10,Santos,57.839375000000004,11,65.52875,8,50.150000000000006,10
11,Atlético-MG,56.985,12,54.268571428571434,13,59.70142857142857,4
12,Internacional,53.212291666666665,13,60.028333333333336,10,46.396249999999995,13
13,Bahia,51.618571428571435,14,55.391428571428584,12,47.84571428571429,12
14,Cuiabá,51.08428571428571,15,48.269999999999996,18,53.89857142857143,7
15,Corinthians,48.88708333333334,16,53.68166666666667,14,44.0925,17
16,Goiás,46.939791666666665,17,52.42333333333334,15,41.45625,20
17,Coritiba,46.38928571428571,18,51.098571428571425,16,41.68,19
18,América-MG,43.95,19,43.42285714285715,19,44.47714285714286,16
19,Vasco,42.82142857142857,20,42.51714285714286,20,43.12571428571429,18
