,clube,xGA_geral
0,Palmeiras,0.8935629259954804
1,Atlético-MG,0.9342697934522132
2,Athletico-PR,1.0797928383971889
3,Cruzeiro,1.0956975018135748
4,Bahia,1.1186151370307038
5,Botafogo,1.1192115988193287
6,Cuiabá,1.1559191931343153
7,Fortaleza,1.1676179510703881
8,Corinthians,1.2438473049607048
9,Santos,1.2921113106769586
10,Bragantino,1.302311427602548
11,Vasco,1.336982430662431
12,São Paulo,1.4180011004433322
13,Flamengo,1.4330032938378114
14,Goiás,1.4367202365202856
15,Internacional,1.457670723955977
16,Fluminense,1.460332992825749
17,Coritiba,1.51512705494404
18,América-MG,1.5816747777694378
19,Grêmio,1.7939466782650222
