,clube,ranking_clube,fase
0,Cruzeiro,6,
1,Fluminense,5,
2,América-MG,20,
3,São Paulo,8,
4,Athletico-PR,14,
5,Bahia,15,
6,Botafogo,1,
7,Goiás,16,
8,Grêmio,7,
9,Corinthians,17,
10,Santos,11,
11,Vasco,9,
12,Cuiabá,18,
13,Internacional,4,
14,Flamengo,13,
15,Coritiba,19,
16,Atlético-MG,10,
17,Palmeiras,3,
18,Bragantino,12,
19,Fortaleza,2,
