,rodada_id,atleta_id,apelido,clube,posicao,preco_open,pontos_num,variacao_num,ieo_gm_mean,iao_gm_mean,ied_gm_mean,ieg_gm_mean,iro_gm,irp_gm,ippc_gm_mean,ranking_clube,fase,prob_vitoria_mandante,prob_vitoria_visitante,prob_vitoria,mando,XP_mandante,XP_visitante,XP,media_movel_mandante,media_movel_visitante,media_movel,odds,points_next,binary_prob
1946,9,72775,Fernandinho,Athletico-PR,MEI,5.65,0.0,0.0,11.111111111111109,0.0,25.53749791257697,12.708723982315405,0.0,1.3461928559573644,0.11522006564157655,0,9,43.491144345301734,52.612423251832894,52.612423251832894,visitante,0.0,2.07,0,2.95,0.5,2.95,0,0,1.0
894,9,78850,Reinaldo,Grêmio,LAT,6.87,7.8,0.68,22.222222222222218,2.7777777777777777,25.9463766895772,12.967121915131946,0.8544444444444445,3.179289201771318,0.2930813559033185,0,10,43.491144345301734,32.598162901451666,32.598162901451666,visitante,0.0,2.375,0,3.9,2.5500000000000003,3.9,0,0,1.0
1538,9,91908,Pavón,Atlético-MG,ATA,9.7,0.0,0.0,30.69,8.333333333333334,36.06131176972417,12.708723982315405,11.322222222222226,8.462957634434083,0.9687749908383368,0,13,62.47724655028854,29.94066804147543,62.47724655028854,mandante,4.1125,0.0,0,7.399999999999999,7.966666666666668,7.399999999999999,0,0,1.0
566,9,72294,Everson,Atlético-MG,GOL,5.02,11.0,2.08,0.0,0.0,29.101647586783574,38.50019599760489,0.0,6.431847802169902,1.033780906177575,0,13,62.47724655028854,29.94066804147543,62.47724655028854,mandante,2.0625,0.0,0,3.1666666666666665,5.625,3.1666666666666665,0,0,1.0
1539,9,87098,Matheus Peixoto,Goiás,ATA,8.01,0.0,0.0,21.212222222222227,4.4444444444444455,31.322435824728675,12.708723982315405,14.303333333333333,9.497316586585745,0.5733513107362586,0,4,16.354025461468773,29.94066804147543,16.354025461468773,mandante,5.5,0.0,0,4.8,3.275,4.8,0,0,1.0
1454,9,124251,Deivid Washington,Santos,ATA,3.87,0.5,0.05,15.873333333333335,14.814814814814813,27.850219034596012,12.708723982315405,16.23888888888889,5.2646438476740895,2.6932894439719224,0,8,43.491144345301734,49.85231977631855,49.85231977631855,visitante,0.0,3.9875,0,7.466666666666666,3.1,7.466666666666666,0,0,1.0
2052,9,111682,Adson,Corinthians,MEI,5.96,-0.3,-1.2,0.0,0.0,41.74155285714425,12.708723982315405,9.463333333333333,7.075591753626878,0.7597325459999285,0,4,42.11495514551353,29.94066804147543,42.11495514551353,mandante,3.37,0.0,0,5.166666666666667,3.1499999999999995,5.166666666666667,0,0,1.0
2046,9,106323,Caio Alexandre,Fortaleza,MEI,8.69,-0.1,-0.44,21.212222222222227,3.7037037037037033,39.776396328025044,12.708723982315405,3.888888888888889,6.005175191628559,0.5597913898664205,0,6,43.491144345301734,21.129855887919227,21.129855887919227,visitante,0.0,4.074999999999998,0,1.875,5.533333333333332,1.875,0,0,1.0
2036,9,72497,Gustavo Campanharo,Internacional,MEI,5.43,0.0,0.0,0.0,0.0,37.86029865449537,12.708723982315405,3.611111111111111,3.8612430311790207,0.4288261624330936,0,4,49.0358241790416,29.94066804147543,49.0358241790416,mandante,2.5,0.0,0,0.2,5.55,0.2,0,0,1.0
2031,9,112886,Lucas Barbosa,Santos,MEI,5.49,0.0,0.0,0.0,0.0,35.84838653228913,12.708723982315405,0.8544444444444445,1.9264942786441464,0.2666449539852795,0,8,43.491144345301734,49.85231977631855,49.85231977631855,visitante,0.0,4.8125,0,2.1,3.8,2.1,0,0,1.0
