,clube,Média Geral,Ranking Geral,Média Mandante,Ranking Mandantes,Média Visitante,Ranking Visitantes
0,Bragantino,72.72000000000001,1,73.63166666666666,3,44.598,15
1,Flamengo,71.24999999999999,2,83.00833333333334,2,54.358000000000004,9
2,Botafogo,69.72166666666665,3,85.67166666666667,1,57.35,7
3,Palmeiras,63.169999999999995,4,68.80600000000001,7,69.27833333333332,2
4,Athletico-PR,61.333333333333336,5,73.34400000000001,4,48.85833333333333,12
5,Grêmio,61.083333333333336,6,70.90333333333334,5,43.42399999999999,16
6,Atlético-MG,61.01333333333333,7,59.918000000000006,12,64.57833333333333,3
7,Fortaleza,60.04333333333333,8,69.78399999999999,6,63.315,5
8,Santos,58.58333333333334,9,66.71333333333332,9,57.714,6
9,Cuiabá,57.078333333333326,10,40.674,19,57.11833333333333,8
10,Bahia,55.419999999999995,11,57.85999999999999,13,51.384,10
11,Cruzeiro,55.403333333333336,12,45.46,17,81.62800000000001,1
12,Internacional,53.865,13,60.12199999999999,11,48.85833333333333,12
13,Corinthians,53.13500000000001,14,56.148,14,39.35166666666667,19
14,Goiás,51.47666666666666,15,52.458000000000006,15,42.43833333333333,17
15,São Paulo,51.37166666666667,16,67.76,8,50.684000000000005,11
16,Fluminense,50.535,17,60.467999999999996,10,64.22666666666667,4
17,América-MG,43.44166666666666,18,44.89666666666667,18,40.974000000000004,18
18,Coritiba,43.27166666666667,19,47.50333333333333,16,37.186,20
19,Vasco,38.471666666666664,20,40.254,20,44.85833333333334,14
