,clube,xGA_geral
0,Atlético-MG,0.917493384991011
1,Palmeiras,1.016217686643949
2,Cuiabá,1.0677947386949334
3,Cruzeiro,1.067990124206748
4,Bahia,1.1019009647853024
5,Bragantino,1.14728997783415
6,Athletico-PR,1.1495248274232126
7,Botafogo,1.1501383181017584
8,São Paulo,1.1768674768523193
9,Fortaleza,1.1926818033404902
10,Vasco,1.236101591734612
11,Fluminense,1.236887320867002
12,Internacional,1.2687674504755182
13,América-MG,1.284572182561551
14,Goiás,1.2852271433705775
15,Santos,1.3434327629603653
16,Corinthians,1.3458145998741537
17,Coritiba,1.4383808738596078
18,Grêmio,1.539467351128064
19,Flamengo,1.56270224386293
