,mandante,visitante,odds_mandante_percent,odds_empate_percent,odds_visitante_percent,odds_mandante,odds_empate,odds_visitante
0,Palmeiras,Bragantino,51.02040816326531,38.02281368821293,14.005602240896359,1.96,2.63,7.14
1,Bahia,Flamengo,25.97402597402597,40.98360655737705,35.97122302158274,3.85,2.44,2.78
2,Fluminense,Cuiabá,52.083333333333336,38.02281368821293,13.003901170351103,1.92,2.63,7.69
3,Atlético-MG,Internacional,44.052863436123346,38.02281368821293,21.008403361344538,2.27,2.63,4.76
4,Vasco,Santos,42.016806722689076,38.02281368821293,22.98850574712644,2.38,2.63,4.35
5,Goiás,Botafogo,28.011204481792717,39.0625,35.97122302158274,3.57,2.56,2.78
6,Corinthians,São Paulo,34.96503496503497,38.02281368821293,30.03003003003003,2.86,2.63,3.33
7,Grêmio,Fortaleza,35.97122302158274,40.0,27.027027027027025,2.78,2.5,3.7
8,Athletico-PR,Coritiba,44.052863436123346,39.0625,20.0,2.27,2.56,5.0
9,América-MG,Cruzeiro,32.05128205128205,40.0,30.959752321981426,3.12,2.5,3.23
