,clube,xP,ranking_xp
0,Palmeiras,16.84,1
1,Cruzeiro,15.93,2
2,Fortaleza,15.87,3
3,Botafogo,14.87,4
4,Bahia,14.0,5
5,Atlético-MG,13.99,6
6,Athletico-PR,13.37,7
7,Bragantino,12.96,8
8,Flamengo,12.729999999999999,9
9,Cuiabá,11.91,10
10,Fluminense,11.59,11
11,Santos,11.03,12
12,América-MG,10.91,13
13,São Paulo,10.870000000000001,14
14,Vasco,10.87,15
15,Corinthians,10.26,16
16,Goiás,10.01,17
17,Internacional,10.0,18
18,Grêmio,9.940000000000001,19
19,Coritiba,9.120000000000001,20
