,mandante,visitante,odds_mandante_percent,odds_empate_percent,odds_visitante_percent,odds_mandante,odds_empate,odds_visitante
0,Bahia,Corinthians,40.98360655737705,34.01360544217687,28.011204481792717,2.44,2.94,3.57
1,Palmeiras,Fortaleza,51.02040816326531,34.96503496503497,17.006802721088434,1.96,2.86,5.88
2,Flamengo,América-MG,58.139534883720934,33.003300330033,12.004801920768307,1.72,3.03,8.33
3,Cuiabá,São Paulo,32.05128205128205,37.03703703703704,34.01360544217687,3.12,2.7,2.94
4,Bragantino,Internacional,45.04504504504504,35.97122302158274,21.978021978021978,2.22,2.78,4.55
5,Santos,Botafogo,21.008403361344538,34.01360544217687,48.07692307692307,4.76,2.94,2.08
6,Vasco,Athletico-PR,30.03003003003003,38.02281368821293,34.96503496503497,3.33,2.63,2.86
7,Cruzeiro,Goiás,54.94505494505494,33.003300330033,14.992503748125937,1.82,3.03,6.67
8,Grêmio,Atlético-MG,38.02281368821293,37.03703703703704,28.011204481792717,2.63,2.7,3.57
9,Coritiba,Fluminense,25.0,39.0625,39.0625,4.0,2.56,2.56
