,clube,ranking_clube,fase
0,Internacional,6,86.67
1,Botafogo,1,80.0
2,Grêmio,2,80.0
3,Flamengo,3,66.67
4,Bragantino,7,66.67
5,Fortaleza,8,66.67
6,Fluminense,5,53.33
7,Palmeiras,4,46.67
8,Corinthians,15,46.67
9,Athletico-PR,9,46.67
10,São Paulo,11,40.0
11,Atlético-MG,10,40.0
12,Cuiabá,16,33.33
13,Cruzeiro,12,33.33
14,Bahia,14,33.33
15,Goiás,17,26.67
16,América-MG,19,26.67
17,Vasco,18,20.0
18,Santos,13,13.33
19,Coritiba,20,13.33
