,scout,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,minimo_para_valorizar,gato_mestre,slug,apelido,apelido_abreviado,nome,foto,status
0,"{'CA': 2, 'DS': 6, 'FC': 11, 'FD': 1, 'FF': 3, 'FS': 13, 'FT': 1, 'G': 2, 'SG': 4}",91708,11,266,3,7,-0.3,12.09,-0.43,4.64,11,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",nino,Nino,Nino,Marcílio Florêncio Mota Filho,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_U5c1E7V.png,Provável
1,"{'A': 1, 'CA': 3, 'DS': 23, 'FC': 17, 'FD': 2, 'FF': 3, 'FS': 7, 'FT': 1, 'G': 2, 'I': 2, 'SG': 2}",94968,11,280,2,7,12.2,10.55,1.93,6.16,10,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",juninho-capixaba,Juninho Capixaba,J. Capixaba,Luis Antônio da Rocha Júnior,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_VYzv5cy.png,Provável
2,"{'A': 1, 'CA': 1, 'DS': 15, 'FC': 13, 'FD': 6, 'FF': 6, 'FS': 30, 'FT': 1, 'G': 3, 'I': 2}",96340,11,266,4,7,1.6,11.92,-0.89,6.55,11,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",lima,Lima,Lima,Vinicius Moreira de Lima,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_bCG6s7k.png,Provável
3,"{'A': 3, 'DS': 7, 'FC': 11, 'FD': 1, 'FF': 3, 'FS': 13, 'FT': 1}",103388,11,327,4,7,5.2,5.4,0.19,3.33,10,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",emmanuel-martinez,Emmanuel Martínez,E. Martínez,Leandro Emmanuel Martínez,https://s.sde.globo.com/media/person_role/2022/08/13/68f9c27625c8107e59119604bba5e322_FORMATO.png,Provável
4,{'V': 2},111578,11,1371,6,7,3.81,6.11,0.16,5.15,6,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",antonio-oliveira,António Oliveira,A. Oliveira,António José Cardoso de Oliveira,https://s.sde.globo.com/media/person_role/2021/04/27/21a131dcff78d521da3297e98526ce48_FORMATO.png,Provável
5,"{'A': 2, 'CA': 1, 'DS': 11, 'FC': 13, 'FD': 4, 'FF': 8, 'FS': 24, 'G': 5, 'I': 3}",114802,11,293,5,7,13.3,12.64,0.79,7.38,11,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",vitor-roque,Vitor Roque,V. Roque,Vitor Hugo Roque Ferreira,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_0B2D0LR.png,Provável
6,"{'A': 1, 'CA': 3, 'DS': 5, 'FC': 8, 'FD': 2, 'FF': 5, 'FS': 8, 'G': 1, 'I': 1, 'SG': 2}",73384,11,266,2,7,8.9,10.9,1.07,4.85,7,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",samuel-xavier,Samuel Xavier,S. Xavier,Samuel Xavier Brito,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_GJkHCf2.png,Provável
7,"{'CA': 1, 'DS': 3, 'FC': 8, 'FS': 6, 'FT': 1}",85626,11,267,3,7,4.0,2.71,0.68,0.56,11,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",leo,Léo,Léo,Leonardo Pinheiro da Conceição,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_upcZmtB.png,Provável
8,"{'A': 1, 'CA': 2, 'DS': 54, 'FC': 11, 'FD': 3, 'FF': 2, 'FS': 9, 'G': 2, 'I': 1, 'SG': 3}",91706,11,283,2,7,5.2,16.71,-0.08,9.55,11,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",marlon,Marlon,Marlon,Marlon Rodrigues Xavier,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO_vrVAWB7.png,Provável
9,"{'A': 2, 'DS': 11, 'FC': 11, 'FD': 11, 'FF': 16, 'FS': 18, 'FT': 1, 'G': 3, 'I': 8, 'PP': 1, 'PS': 1}",92811,11,283,5,7,3.7,12.93,-1.19,7.1,11,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",bruno-rodrigues,Bruno Rodrigues,B. Rodrigues,Bruno Rafael Rodrigues do Nascimento,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_xfgmkoy.png,Provável
