,clube,xP,ranking_xp
0,Palmeiras,21.900000000000002,1
1,Cruzeiro,19.93,2
2,Atlético-MG,19.85,3
3,Bragantino,18.79,4
4,Fortaleza,18.06,5
5,Athletico-PR,17.449999999999996,6
6,São Paulo,17.389999999999997,7
7,Botafogo,17.26,8
8,Bahia,17.16,9
9,Grêmio,16.650000000000002,10
10,Cuiabá,16.34,11
11,Vasco,15.28,12
12,Fluminense,14.81,13
13,América-MG,14.709999999999999,14
14,Flamengo,14.630000000000003,15
15,Coritiba,14.56,16
16,Santos,14.47,17
17,Corinthians,14.45,18
18,Internacional,13.879999999999999,19
19,Goiás,12.519999999999998,20
