,apelido,atleta_id,clube,posicao,media_casa,media_fora,adversário,mando,media_cedidos,XP_mandante
1280,Luan Patrick,106835,Bragantino,ZAG,10.0,0.7,Flamengo,mandante,0.0,10.0
1281,Mendoza,90031,Santos,ATA,12.6,2.65,Corinthians,mandante,5.2,8.9
1282,Vitinho,101960,Bragantino,ATA,7.833333333333333,1.875,Flamengo,mandante,0.0,7.833333333333333
1283,Pepê,101573,Grêmio,MEI,10.5,0.0,América-MG,mandante,5.0,7.75
1284,Luis Suárez,69318,Grêmio,ATA,9.54,4.466666666666666,América-MG,mandante,5.0,7.27
1285,Adriel,107748,Grêmio,GOL,9.0,1.5,América-MG,mandante,5.0,7.0
1286,Maicon,71227,Santos,ZAG,8.6,0.0,Corinthians,mandante,5.2,6.9
1287,Andrés Hurtado,110715,Bragantino,LAT,6.766666666666666,1.4,Flamengo,mandante,0.0,6.766666666666666
1288,Soteldo,87258,Santos,ATA,8.05,4.3,Corinthians,mandante,5.2,6.625
1289,Lima,96340,Fluminense,MEI,9.549999999999999,5.3500000000000005,Atlético-MG,mandante,3.7,6.625
1290,Cristaldo,89846,Grêmio,MEI,8.2,4.05,América-MG,mandante,5.0,6.6
1291,Helinho,102598,Bragantino,ATA,6.4799999999999995,1.55,Flamengo,mandante,0.0,6.4799999999999995
1292,Juninho Capixaba,94968,Bragantino,LAT,6.449999999999999,4.72,Flamengo,mandante,0.0,6.449999999999999
1293,João Pedro,89273,Grêmio,LAT,7.7,3.3333333333333335,América-MG,mandante,5.0,6.35
1294,Deivid Washington,124251,Santos,ATA,7.466666666666666,3.1,Corinthians,mandante,5.2,6.333333333333333
1295,Nino,91708,Fluminense,ZAG,8.95,2.5833333333333335,Atlético-MG,mandante,3.7,6.324999999999999
1296,Miranda,101720,Vasco,ZAG,6.5,0.8,Goiás,mandante,6.0,6.25
1297,Natanael,107554,Coritiba,LAT,7.220000000000001,2.5500000000000003,Internacional,mandante,4.8,6.01
1298,Pedro Caixinha,117711,Bragantino,TEC,6.002000000000001,3.718,Flamengo,mandante,0.0,6.002000000000001
1299,Jean Pedroso,121796,Coritiba,ZAG,7.2,0.0,Internacional,mandante,4.8,6.0
1300,Rodrigo,111766,Vasco,MEI,0.0,1.44,Goiás,mandante,6.0,6.0
1301,Paulo Henrique,93716,Vasco,LAT,0.0,2.1,Goiás,mandante,6.0,6.0
1302,Marcos Leonardo,109497,Santos,ATA,6.75,5.066666666666666,Corinthians,mandante,5.2,5.975
1303,Kannemann,87342,Grêmio,ZAG,6.9,2.075,América-MG,mandante,5.0,5.95
1304,Eduardo Bauermann,86970,Santos,ZAG,6.7,2.5,Corinthians,mandante,5.2,5.95
1305,Odair Hellmann,92273,Santos,TEC,6.636,4.994,Corinthians,mandante,5.2,5.918
1306,Lucas Pires,114374,Santos,LAT,6.5,3.55,Corinthians,mandante,5.2,5.85
1307,Mateusinho,111879,Cuiabá,LAT,9.649999999999999,2.066666666666667,Botafogo,mandante,2.0,5.824999999999999
1308,Ganso,62977,Fluminense,MEI,7.875,4.68,Atlético-MG,mandante,3.7,5.7875
1309,Wesley,105811,Cruzeiro,ATA,6.949999999999999,4.475,Fortaleza,mandante,4.6,5.7749999999999995
1310,Joaquim,109563,Santos,ZAG,6.333333333333333,4.699999999999999,Corinthians,mandante,5.2,5.766666666666667
1311,Jair,81091,Vasco,MEI,5.525,3.516666666666667,Goiás,mandante,6.0,5.7625
1312,Renato Gaúcho,41929,Grêmio,TEC,6.470000000000001,3.9839999999999995,América-MG,mandante,5.0,5.735
1313,Bitello,112140,Grêmio,MEI,6.44,5.775,América-MG,mandante,5.0,5.720000000000001
1314,Pedro Raul,98225,Vasco,ATA,5.275,1.9600000000000002,Goiás,mandante,6.0,5.6375
1315,Gabriel Pec,106199,Vasco,ATA,5.2749999999999995,5.116666666666665,Goiás,mandante,6.0,5.637499999999999
1316,Marlon,91706,Cruzeiro,LAT,6.640000000000001,13.339999999999998,Fortaleza,mandante,4.6,5.62
1317,Alef Manga,101254,Coritiba,ATA,6.3,5.666666666666667,Internacional,mandante,4.8,5.55
1318,Lucas Lima,80583,Santos,MEI,5.760000000000001,2.04,Corinthians,mandante,5.2,5.48
1319,Marcelo,38402,Fluminense,LAT,7.2,6.0,Atlético-MG,mandante,3.7,5.45
1320,João Paulo,85425,Santos,GOL,5.4,6.7,Corinthians,mandante,5.2,5.300000000000001
1321,Eduardo Sasha,70360,Bragantino,ATA,5.24,5.92,Flamengo,mandante,0.0,5.24
1322,Fernando Sobral,84428,Cuiabá,MEI,8.450000000000001,5.159999999999999,Botafogo,mandante,2.0,5.2250000000000005
1323,Gabriel Inocêncio,93702,Santos,LAT,5.220000000000001,6.25,Corinthians,mandante,5.2,5.210000000000001
1324,Ivonei,105899,Santos,MEI,0.0,0.0,Corinthians,mandante,5.2,5.2
1325,Ed Carlos,118747,Santos,MEI,0.0,1.0,Corinthians,mandante,5.2,5.2
1326,Arboleda,91573,São Paulo,ZAG,6.866666666666667,3.1333333333333333,Athletico-PR,mandante,3.44,5.153333333333333
1327,Matheus Fernandes,94067,Bragantino,MEI,5.140000000000001,6.55,Flamengo,mandante,0.0,5.140000000000001
1328,Dorival Júnior,40990,São Paulo,TEC,6.814,4.1375,Athletico-PR,mandante,3.44,5.127
1329,Aderlan,88423,Bragantino,LAT,5.125,2.0999999999999996,Flamengo,mandante,0.0,5.125
1330,João Lucas,104257,Santos,LAT,5.0,7.35,Corinthians,mandante,5.2,5.1
1331,Calleri,89840,São Paulo,ATA,6.679999999999998,4.9,Athletico-PR,mandante,3.44,5.059999999999999
1332,Bruno Gomes,106202,Coritiba,MEI,5.28,3.4799999999999995,Internacional,mandante,4.8,5.04
1333,Alex Teixeira,60793,Vasco,MEI,4.025,1.9666666666666668,Goiás,mandante,6.0,5.0125
1334,Fernando Diniz,72391,Fluminense,TEC,6.319999999999999,5.660000000000001,Atlético-MG,mandante,3.7,5.01
1335,Puma Rodríguez,99213,Vasco,LAT,4.0,3.9200000000000004,Goiás,mandante,6.0,5.0
1336,Alexsander,118774,Fluminense,LAT,6.2,4.766666666666667,Atlético-MG,mandante,3.7,4.95
1337,Villasanti,97145,Grêmio,MEI,4.85,4.4,América-MG,mandante,5.0,4.925
1338,Luciano,80287,São Paulo,ATA,6.4,2.7199999999999998,Athletico-PR,mandante,3.44,4.92
1339,Messias,87402,Santos,ZAG,4.6,3.7399999999999998,Corinthians,mandante,5.2,4.9
1340,Maurício Barbieri,82792,Vasco,TEC,3.6675,3.891666666666667,Goiás,mandante,6.0,4.83375
1341,Gustavo Vilar,111644,Coritiba,ZAG,0.0,0.0,Internacional,mandante,4.8,4.8
1342,Raí Ramos,90232,São Paulo,LAT,6.1,3.233333333333333,Athletico-PR,mandante,3.44,4.77
1343,Bruno Rodrigues,92811,Cruzeiro,ATA,4.859999999999999,10.020000000000001,Fortaleza,mandante,4.6,4.7299999999999995
1344,Gabriel Grando,112616,Grêmio,GOL,4.375,1.625,América-MG,mandante,5.0,4.6875
1345,Antônio Carlos Zago,69029,Coritiba,TEC,4.5600000000000005,3.1075,Internacional,mandante,4.8,4.68
1346,Thomas Luciano,111819,Grêmio,LAT,4.35,1.8,América-MG,mandante,5.0,4.675
1347,Patryck,106829,São Paulo,LAT,5.9,6.4,Athletico-PR,mandante,3.44,4.67
1348,Lucas Beraldo,112136,São Paulo,ZAG,5.88,2.433333333333333,Athletico-PR,mandante,3.44,4.66
1349,Robson,84817,Coritiba,ATA,4.5200000000000005,5.65,Internacional,mandante,4.8,4.66
