,clube,P
0,Palmeiras,62.491679515699225
1,Athletico-PR,60.775615537766534
2,Flamengo,59.94057390294476
3,Atlético-MG,58.1386957649821
4,Cruzeiro,57.180098865194736
5,Fluminense,57.1391503295331
6,São Paulo,56.77154462144423
7,Botafogo,56.01291124042286
8,Santos,55.34509582928736
9,Grêmio,54.20287332883535
10,Corinthians,53.071364973312974
11,Internacional,52.804369659121036
12,Fortaleza,50.91574252025662
13,Bragantino,49.35191624909117
14,Bahia,44.18925148562161
15,Vasco,44.06072921067313
16,Goiás,43.81553997367473
17,Coritiba,40.063966803345
18,Cuiabá,35.254608819274885
19,América-MG,27.341910594167587
