,clube,xG_total,xGA_total,xG_saldo
0,Atlético-MG,19.608629757139486,13.643967220241242,5.964662536898244
1,Palmeiras,21.009651903166215,15.108201097752888,5.901450805413328
2,Bragantino,19.82834296854204,14.658220392401528,5.1701225761405105
3,Fortaleza,22.579919079425892,18.047034692489532,4.5328843869363595
4,Cruzeiro,20.178219625805923,16.016457635147475,4.161761990658448
5,Athletico-PR,19.962426359675185,17.71755915090893,2.244867208766255
6,Botafogo,18.778391161599473,17.091567375831005,1.6868237857684676
7,São Paulo,18.433749442823974,17.345734771062894,1.08801467176108
8,Bahia,17.90004813897259,17.001523468482972,0.8985246704896177
9,Cuiabá,16.109172343128417,15.586269113357684,0.5229032297707334
10,Grêmio,22.772775557384016,23.41019482810821,-0.6374192707241946
11,América-MG,18.38366096666516,20.446961778751877,-2.063300812086716
12,Vasco,15.624472971412683,18.085361260234173,-2.46088828882149
13,Fluminense,17.22288676332836,19.823743802136953,-2.6008570388085914
14,Coritiba,16.633989429945913,19.9484602832212,-3.314470853275285
15,Internacional,15.17948644511399,18.628366137796206,-3.4488796926822154
16,Santos,14.14396509996348,17.83260201302862,-3.688636913065139
17,Flamengo,18.071076540709686,22.49714687121402,-4.426070330504334
18,Corinthians,14.238870299926907,18.841650206469623,-4.602779906542716
19,Goiás,16.082560532370447,21.01127328846283,-4.928712756092384
