,clube,Goal_diff_geral,xG_diff_geral
5,Athletico-PR,-0.0714285714285714,0.16034765776901838
8,Bahia,-0.5,0.06418033360640152
9,Cuiabá,-0.2857142857142858,0.03735023069790944
