,clube,Goal_diff_geral,xG_diff_geral
3,Atlético-MG,-0.5,0.3367770713836198
6,Bragantino,-0.5,0.16145762030061683
7,América-MG,-1.75,0.13425089726331318
9,Santos,-0.25,0.05810158150538669
