,clube,ranking_clube,fase
0,Botafogo,1,100.0
1,São Paulo,4,66.67
2,Bragantino,7,66.67
3,Fortaleza,9,60.0
4,Grêmio,3,60.0
5,Flamengo,2,53.33
6,Internacional,11,53.33
7,Fluminense,5,53.33
8,Cruzeiro,10,53.33
9,Coritiba,18,46.67
10,Corinthians,15,46.67
11,Cuiabá,13,46.67
12,Athletico-PR,8,46.67
13,Bahia,16,26.67
14,Goiás,17,26.67
15,Vasco,19,20.0
16,Palmeiras,6,20.0
17,Santos,14,20.0
18,Atlético-MG,12,20.0
19,América-MG,20,13.33
