,clube,P,GP,GC,SG,Fase,ranking
0,Botafogo,24,18,7,11,9,1
1,Palmeiras,22,22,8,14,9,2
2,Flamengo,19,21,11,10,13,3
3,Atlético-MG,18,14,8,6,11,4
4,Fluminense,17,16,11,5,7,5
5,Grêmio,17,14,15,-1,10,6
6,Athletico-PR,16,14,13,1,7,7
7,São Paulo,15,15,11,4,7,8
8,Fortaleza,14,12,8,4,5,9
9,Cruzeiro,14,14,10,4,5,10
10,Bragantino,14,15,14,1,8,11
11,Internacional,14,10,13,-3,7,12
12,Santos,13,9,8,1,6,13
13,Cuiabá,12,9,14,-5,8,14
14,Bahia,9,11,16,-5,3,15
15,Corinthians,9,9,15,-6,5,16
16,Goiás,8,9,18,-9,5,17
17,América-MG,8,11,22,-11,7,18
18,Vasco,6,10,19,-9,0,19
19,Coritiba,4,8,20,-12,2,20
