,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate,sg_mandante_total,sg_visitante_total,sg_total
0,Cuiabá,13.0,Santos,1.3662358146251372,1.0117330749168874,44.16,28.28,27.56,27.08,16.87,9.25,36.33,26.12,62.45
1,Goiás,13.0,Coritiba,1.4160729582002687,1.054625547877403,45.32,28.36,26.32,26.52,15.62,8.43,34.95,24.049999999999997,59.0
2,Internacional,13.0,Cruzeiro,1.2830552280404166,1.4146302622476647,34.44,40.1,25.46,17.74,21.04,6.77,24.509999999999998,27.81,52.31999999999999
3,Athletico-PR,13.0,Palmeiras,1.3363929574512972,1.3174179159504182,37.8,36.3,25.91,19.82,19.52,6.98,26.8,26.5,53.3
4,Botafogo,13.0,Vasco,1.6756900095737195,1.3061508952009981,46.2,30.21,23.58,21.87,13.74,4.79,26.66,18.53,45.19
5,Atlético-MG,13.0,América-MG,1.7673896624781946,1.335153863809711,47.93,29.18,22.89,21.97,12.46,4.61,26.58,17.07,43.65
6,Corinthians,13.0,Bragantino,1.579159478265424,1.3390029096293061,43.17,32.83,24.0,20.62,15.57,5.33,25.950000000000003,20.9,46.85
7,São Paulo,13.0,Fluminense,1.7184246684850022,1.3907368908918558,45.54,31.23,23.23,20.72,13.58,4.46,25.18,18.04,43.22
8,Bahia,13.0,Grêmio,1.611070527014351,1.3795764274367857,42.55,33.12,24.32,20.0,14.78,5.04,25.04,19.82,44.86
9,Flamengo,13.0,Fortaleza,1.5030266482603758,1.4717324241816288,38.86,36.88,24.26,18.11,17.18,5.17,23.28,22.35,45.63
