,clube,xGA_geral
0,Atlético-MG,0.9048179509815242
1,Palmeiras,0.9757925424611915
2,Cruzeiro,1.0842441740080753
3,Bahia,1.122473532751496
4,Corinthians,1.1454347943391165
5,Cuiabá,1.164124653156272
6,Athletico-PR,1.1717086154751617
7,Vasco,1.2020061515380316
8,Santos,1.2315079531032913
9,Fortaleza,1.2342495111316387
10,Botafogo,1.24290034309478
11,São Paulo,1.2758100936299106
12,Coritiba,1.3272621476023638
13,Bragantino,1.3309444279175306
14,Internacional,1.367307037775175
15,América-MG,1.4514370383071644
16,Fluminense,1.4791961153333744
17,Goiás,1.5382609348937764
18,Grêmio,1.6635762418251425
19,Flamengo,1.7038469747077363
