,clube,P
0,Flamengo,62.93978697514342
1,Botafogo,62.78731001871971
2,Palmeiras,61.922856682612384
3,Grêmio,59.03055488556463
4,Atlético-MG,58.837551798110475
5,Athletico-PR,58.12069823465004
6,Internacional,57.27320236398452
7,Fluminense,56.33388471987954
8,São Paulo,55.54835767140561
9,Bragantino,53.69972849421056
10,Cruzeiro,53.05617958899166
11,Fortaleza,52.37399606608006
12,Corinthians,51.77027028145128
13,Santos,49.14630356121791
14,Goiás,42.79287446311997
15,Bahia,42.75446705114805
16,Vasco,40.51552338645643
17,Cuiabá,37.832501778418184
18,Coritiba,34.85064967803934
19,América-MG,29.29017771588617
