,clube,Média Geral,Ranking Geral,Média Mandante,Ranking Mandantes,Média Visitante,Ranking Visitantes
0,Botafogo,75.43,1,86.352,1,54.309999999999995,9
1,Palmeiras,73.99166666666666,2,68.80600000000001,8,70.86,2
2,Flamengo,70.90333333333334,3,76.02000000000001,3,61.537499999999994,6
3,Santos,69.82333333333334,4,75.236,4,56.487500000000004,8
4,Atlético-MG,68.43,5,61.915,12,68.63000000000001,3
5,Bragantino,65.82666666666667,6,65.402,10,45.6025,14
6,Athletico-PR,65.81166666666667,7,73.34400000000001,5,43.887499999999996,15
7,São Paulo,62.298333333333325,8,83.935,2,50.684000000000005,11
8,Fortaleza,61.478333333333325,9,69.78399999999999,7,66.3875,4
9,Fluminense,57.95666666666667,10,67.59500000000001,9,65.20199999999998,5
10,Grêmio,57.718333333333334,11,71.03,6,43.317499999999995,16
11,Cruzeiro,57.715,12,49.642,15,87.69000000000001,1
12,Cuiabá,54.248333333333335,13,39.415,20,59.29200000000001,7
13,Bahia,51.00333333333333,14,54.96,14,51.384,10
14,Internacional,48.021666666666675,15,63.36500000000001,11,46.16799999999999,12
15,Corinthians,45.676666666666655,16,60.175,13,30.440000000000005,20
16,América-MG,42.66166666666667,17,45.105999999999995,17,40.255,17
17,Vasco,42.6,18,44.0175,18,45.998,13
18,Goiás,39.585,19,46.755,16,33.774,19
19,Coritiba,37.52666666666667,20,43.82,19,37.186,18
