,clube,P
0,Botafogo,67.63634853909466
1,Flamengo,63.172255727255965
2,Palmeiras,61.3077793712682
3,Grêmio,58.85686061391421
4,São Paulo,57.61242219962526
5,Athletico-PR,56.87257199297764
6,Fluminense,56.371210945245956
7,Atlético-MG,55.19383709210752
8,Internacional,54.4862701926084
9,Bragantino,54.001151270479724
10,Cruzeiro,53.617173337200605
11,Fortaleza,51.77193269627923
12,Corinthians,51.120928135113154
13,Santos,48.03883996994022
14,Cuiabá,42.34412713267974
15,Bahia,40.54167526285067
16,Goiás,39.657933815188926
17,Coritiba,38.072008625979265
18,Vasco,37.48978428317321
19,América-MG,29.402760886526394
