,clube,Média Geral,Ranking Geral,Média Mandante,Ranking Mandantes,Média Visitante,Ranking Visitantes
0,Flamengo,83.19833333333334,1,83.00833333333334,2,61.5375,5
1,Botafogo,73.61166666666666,2,85.67166666666667,1,54.31,9
2,Santos,73.26,3,75.23599999999999,3,57.714,7
3,Atlético-MG,72.26666666666668,4,59.918000000000006,12,68.63000000000001,3
4,Palmeiras,71.39166666666667,5,68.806,8,74.604,2
5,Athletico-PR,67.41,6,73.344,4,48.398,12
6,Bragantino,61.645,7,65.402,10,44.598,15
7,Fortaleza,59.76833333333332,8,69.78399999999999,7,61.20399999999999,6
8,Fluminense,59.66666666666668,9,67.59500000000001,9,64.22666666666666,4
9,Cruzeiro,58.62,10,49.642,17,81.62800000000001,1
10,Grêmio,54.73500000000001,11,71.03,6,43.424,16
11,São Paulo,54.678333333333335,12,72.974,5,50.684000000000005,11
12,Cuiabá,54.22666666666667,13,39.415,20,57.11833333333333,8
13,Bahia,49.27166666666667,14,55.138,14,51.384,10
14,Internacional,47.78833333333333,15,60.122,11,46.16799999999999,13
15,Goiás,45.275,16,52.458000000000006,15,33.774,19
16,Coritiba,44.745,17,51.04799999999999,16,37.186,18
17,América-MG,44.406666666666666,18,44.89666666666667,18,40.254999999999995,17
18,Corinthians,44.27666666666667,19,56.148,13,30.440000000000005,20
19,Vasco,41.745,20,44.0175,19,44.85833333333334,14
