,clube,Média Geral,Ranking Geral,Média Mandante,Ranking Mandantes,Média Visitante,Ranking Visitantes
0,Bragantino,84.80833333333334,1,94.03000000000002,1,63.498333333333335,4
1,Botafogo,83.23500000000001,2,91.27333333333335,2,61.68333333333333,5
2,Athletico-PR,70.51666666666667,3,76.045,4,56.22333333333333,6
3,Coritiba,68.08166666666666,4,59.29666666666666,8,50.43833333333333,10
4,Grêmio,66.26666666666667,5,69.74166666666667,5,45.99,16
5,Corinthians,64.26333333333334,6,55.97166666666667,11,55.51499999999999,7
6,Cruzeiro,62.58833333333334,7,47.166666666666664,18,70.82500000000002,1
7,Palmeiras,61.93333333333334,8,60.93666666666667,7,68.22333333333334,2
8,Cuiabá,61.866666666666674,9,54.19,14,63.92166666666666,3
9,São Paulo,61.824999999999996,10,63.44833333333333,6,44.055,17
10,Flamengo,61.77166666666667,11,82.81333333333333,3,55.190000000000005,8
11,Fluminense,55.626666666666665,12,58.70166666666666,9,47.696666666666665,14
12,Internacional,52.386666666666656,13,53.37166666666667,16,50.97,9
13,Bahia,52.125,14,58.565,10,48.98,11
14,Goiás,48.294999999999995,15,51.00166666666666,17,48.77,13
15,América-MG,43.74333333333334,16,45.660000000000004,19,42.49,19
16,Atlético-MG,42.71,17,54.89333333333334,13,48.82999999999999,12
17,Santos,42.13166666666667,18,53.45666666666667,15,47.25833333333333,15
18,Fortaleza,39.55166666666667,19,55.591666666666676,12,44.00333333333334,18
19,Vasco,38.294999999999995,20,39.56666666666666,20,40.47333333333333,20
