,clube,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,Botafogo,70.331,1,86.352,1,54.31,9
1,Palmeiras,69.833,2,68.806,8,70.86,2
2,Flamengo,68.77875,3,76.02000000000001,3,61.537499999999994,6
3,Cruzeiro,68.666,4,49.641999999999996,15,87.69,1
4,Fortaleza,68.08574999999999,5,69.78399999999999,7,66.3875,4
5,São Paulo,67.3095,6,83.935,2,50.684000000000005,11
6,Fluminense,66.3985,7,67.59500000000001,9,65.20199999999998,5
7,Santos,65.86175,8,75.236,4,56.487500000000004,8
8,Atlético-MG,65.27250000000001,9,61.915,12,68.63000000000001,3
9,Athletico-PR,58.61574999999999,10,73.344,5,43.887499999999996,15
10,Grêmio,57.17375,11,71.03,6,43.317499999999995,16
11,Bragantino,55.502250000000004,12,65.402,10,45.6025,14
12,Internacional,54.76649999999999,13,63.365,11,46.16799999999999,12
13,Bahia,53.172,14,54.96,14,51.384,10
14,Cuiabá,49.353500000000004,15,39.415,20,59.29200000000001,7
15,Corinthians,45.3075,16,60.175,13,30.439999999999998,20
16,Vasco,45.00775,17,44.0175,18,45.998,13
17,América-MG,42.680499999999995,18,45.105999999999995,17,40.255,17
18,Coritiba,40.50299999999999,19,43.81999999999999,19,37.18599999999999,18
19,Goiás,40.2645,20,46.754999999999995,16,33.774,19
