,apelido,atleta_id,clube,posicao,media_casa,media_fora
242,Lucas Barbosa,112886,Santos,MEI,2.1,4.75
243,Lucas Beraldo,112136,São Paulo,ZAG,8.333333333333334,1.4
244,Lucas Braga,99119,Santos,ATA,2.6,0.5
245,Lucas Crispim,88597,Fortaleza,MEI,1.2,1.4
246,Lucas Evangelista,84674,Bragantino,MEI,3.8000000000000003,5.966666666666666
247,Lucas Fernandes,94931,Botafogo,MEI,0.4666666666666666,0.4
248,Lucas Halter,102253,Goiás,ZAG,1.3,3.8499999999999996
249,Lucas Kal,95662,América-MG,MEI,0.36666666666666664,-0.1
250,Lucas Lima,80583,Santos,MEI,4.425000000000001,2.8666666666666667
251,Lucas Mugni,81121,Bahia,MEI,-0.3,0.0
252,Lucas Perri,91260,Botafogo,GOL,6.25,4.0
253,Lucas Pires,114374,Santos,LAT,7.825,4.7
254,Lucas Piton,105584,Vasco,LAT,2.1666666666666665,3.375
255,Lucas Sasha,68991,Fortaleza,MEI,2.6500000000000004,4.5
256,Lucas Silva,79701,Grêmio,MEI,0.9,4.2
257,Lucca,122420,Internacional,ATA,1.0,-0.26666666666666666
258,Lucero,105568,Fortaleza,ATA,2.6,0.6000000000000001
259,Luciano,80287,São Paulo,ATA,7.733333333333333,3.0
260,Luciano Castán,68942,Cruzeiro,ZAG,3.425,4.366666666666666
261,Lucão,106160,Bragantino,GOL,0.5,-1.5
262,Luis Guilherme,123713,Palmeiras,MEI,1.6,0.6
263,Luis Henrique,105049,Botafogo,ATA,1.0750000000000002,1.5333333333333332
264,Luis Suárez,69318,Grêmio,ATA,8.825,3.8499999999999996
265,Luiz Adriano,72772,Internacional,ATA,3.0,1.0
266,Luís Castro,88037,Botafogo,TEC,8.102500000000001,5.676666666666667
267,Léo,85626,Vasco,ZAG,0.0,0.2
268,Léo Cittadini,70986,Athletico-PR,MEI,0.4,-0.9
269,Léo Jardim,87008,Vasco,GOL,2.3333333333333335,4.25
270,Léo Pereira,83528,Flamengo,ZAG,13.35,1.0333333333333334
271,Machado,96089,Cruzeiro,MEI,3.8499999999999996,5.166666666666667
