,clube,P
0,Botafogo,68.901627252415
1,Palmeiras,63.57427211956056
2,Flamengo,63.491473910548414
3,Grêmio,59.806915163569464
4,Athletico-PR,57.49848091511756
5,Fluminense,56.568423403199034
6,São Paulo,55.537899397891664
7,Bragantino,55.329563236748506
8,Internacional,53.26363664846345
9,Atlético-MG,52.56870258106194
10,Corinthians,51.82298585457767
11,Cruzeiro,51.71526297310549
12,Fortaleza,49.410713139214735
13,Cuiabá,46.47227006238145
14,Santos,46.015309933103296
15,Goiás,41.46468305964745
16,Bahia,40.50149591932551
17,Coritiba,38.64846380082482
18,Vasco,35.23695533895845
19,América-MG,28.969308391992882
