,clube,Média Geral,Ranking Geral,Média Mandante,Ranking Mandantes,Média Visitante,Ranking Visitantes
0,Bragantino,85.26333333333334,1,94.02999999999999,1,55.76833333333334,7
1,Botafogo,80.41666666666667,2,92.34500000000001,2,61.68333333333334,3
2,Athletico-PR,67.44333333333333,3,78.63,4,56.22333333333333,6
3,Grêmio,66.50166666666667,4,69.74166666666667,5,45.971666666666664,15
4,Coritiba,65.17166666666667,5,59.296666666666674,10,50.62,10
5,Corinthians,59.04333333333333,6,53.68166666666667,15,55.51500000000001,8
6,Cuiabá,57.88166666666666,7,54.19,14,57.91833333333333,4
7,Flamengo,57.059999999999995,8,82.81333333333333,3,57.445000000000014,5
8,São Paulo,57.01,9,67.63333333333334,6,44.055,16
9,Goiás,56.97,10,52.23833333333334,17,48.77,12
10,Internacional,56.80833333333334,11,58.92000000000001,11,50.97,9
11,Cruzeiro,54.66166666666667,12,47.166666666666664,18,79.31833333333333,1
12,Palmeiras,52.13,13,60.93666666666667,8,62.585,2
13,Bahia,49.11000000000001,14,58.565,12,39.81666666666666,20
14,Fluminense,48.660000000000004,15,60.629999999999995,9,47.696666666666665,14
15,Fortaleza,47.11833333333334,16,62.88333333333333,7,44.00333333333334,17
16,América-MG,45.23333333333333,17,45.405,19,42.49,18
17,Atlético-MG,40.93333333333333,18,54.405,13,48.82999999999999,11
18,Santos,40.53,19,53.45666666666667,16,48.64000000000001,13
19,Vasco,37.02166666666667,20,39.56666666666666,20,40.055,19
