,clube,xP,ranking_xp
0,Atlético-MG,6.0,1
1,Fortaleza,5.7,2
2,Palmeiras,5.49,3
3,Flamengo,5.04,4
4,Cruzeiro,4.76,5
5,Bahia,4.74,6
6,Goiás,4.45,7
7,América-MG,4.12,8
8,Santos,4.09,9
9,Internacional,4.04,10
10,São Paulo,3.91,11
11,Cuiabá,3.88,12
12,Coritiba,3.83,13
13,Bragantino,3.7,14
14,Fluminense,3.69,15
15,Athletico-PR,3.46,16
16,Grêmio,3.4099999999999997,17
17,Vasco,3.2800000000000002,18
18,Corinthians,2.81,19
19,Botafogo,2.0599999999999996,20
