,clube,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,Cruzeiro,76.82291666666667,1,55.4525,13,98.19333333333334,1
1,Palmeiras,73.56416666666667,2,68.685,10,78.44333333333333,2
2,Botafogo,73.51458333333333,3,86.2525,2,60.776666666666664,6
3,Fluminense,72.12041666666667,4,72.99333333333333,6,71.2475,3
4,São Paulo,71.50041666666667,5,90.96333333333332,1,52.0375,10
5,Santos,69.33958333333334,6,82.6725,3,56.00666666666666,7
6,Atlético-MG,68.02833333333334,7,69.93666666666667,8,66.12,5
7,Fortaleza,67.87041666666664,8,69.35333333333331,9,66.38749999999999,4
8,Flamengo,66.74791666666667,9,81.7425,4,51.75333333333333,11
9,Athletico-PR,60.29708333333333,10,76.70666666666666,5,43.8875,16
10,Grêmio,57.331250000000004,11,72.69250000000001,7,41.97,17
11,Bahia,54.955,12,54.96,14,54.949999999999996,8
12,Internacional,51.66375,13,55.79,12,47.5375,14
13,Bragantino,51.5475,14,56.875,11,46.22,15
14,Vasco,46.69333333333333,15,42.32666666666666,18,51.059999999999995,12
15,Cuiabá,44.004999999999995,16,35.5,20,52.51,9
16,Goiás,43.656666666666666,17,51.61333333333334,15,35.699999999999996,19
17,América-MG,43.04291666666667,18,36.5225,19,49.56333333333333,13
18,Coritiba,42.190000000000005,19,43.82000000000001,17,40.56,18
19,Corinthians,39.78375,20,47.900000000000006,16,31.667499999999997,20
