,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate,sg_mandante_total,sg_visitante_total,sg_total
0,Goiás,9.0,Cuiabá,1.3099292200949648,1.0389334608014225,42.41,29.61,27.98,25.74,17.68,9.74,35.48,27.42,62.9
1,América-MG,9.0,Corinthians,1.1374217738640553,1.0661276218077145,36.96,33.67,29.37,23.17,20.97,11.1,34.27,32.07,66.34
2,Santos,9.0,Internacional,1.2157582425298337,1.080541378260061,39.05,32.51,28.44,23.77,19.62,10.42,34.19,30.04,64.22999999999999
3,Grêmio,9.0,São Paulo,1.2496088634901024,1.237536457094813,37.26,36.23,26.52,21.06,20.41,7.97,29.029999999999998,28.38,57.41
4,Athletico-PR,9.0,Botafogo,1.5648330708513956,1.257766251414227,44.34,30.77,24.89,22.28,15.1,5.97,28.25,21.07,49.32
5,Vasco,9.0,Flamengo,1.3368542676662147,1.2507454674789837,38.83,35.24,25.92,20.93,19.16,7.26,28.189999999999998,26.42,54.61
6,Fluminense,9.0,Bragantino,1.4221241588305886,1.266978456914749,40.58,33.38,26.04,21.27,16.93,6.75,28.02,23.68,51.7
7,Cruzeiro,9.0,Atlético-MG,1.2783725150526406,1.3525217005287193,34.93,38.9,26.17,18.55,20.66,7.35,25.9,28.009999999999998,53.91
8,Fortaleza,9.0,Bahia,1.416192846334526,1.4727527123552495,35.97,39.16,24.88,16.93,19.08,5.37,22.3,24.45,46.75
9,Palmeiras,9.0,Coritiba,1.8784186902079012,1.4776388621742291,46.96,30.44,22.61,19.42,11.72,3.82,23.240000000000002,15.540000000000001,38.78
