,apelido,atleta_id,clube,posicao,media_casa,media_fora,adversário,mando,media_cedidos,XP_mandante
1030,Mendoza,90031,Santos,ATA,20.8,3.8,Bahia,mandante,3.0,11.9
1031,Léo Pereira,83528,Flamengo,ZAG,16.65,0.9,Goiás,mandante,7.0,11.825
1032,Raphael Veiga,94509,Palmeiras,MEI,15.1,12.8,Grêmio,mandante,7.25,11.175
1033,Moisés,104666,Fortaleza,ATA,16.3,0.6,São Paulo,mandante,4.0,10.15
1034,Wesley,105811,Cruzeiro,ATA,15.7,1.4,Fluminense,mandante,3.5,9.6
1035,Victor Sá,108946,Botafogo,ATA,17.5,3.5999999999999996,Corinthians,mandante,0.75,9.125
1036,Mateusinho,111879,Cuiabá,LAT,9.649999999999999,1.25,Atlético-MG,mandante,8.0,8.825
1037,José López,113103,Palmeiras,ATA,9.7,1.4,Grêmio,mandante,7.25,8.475
1038,Marllon,70666,Cuiabá,ZAG,8.3,0.9500000000000001,Atlético-MG,mandante,8.0,8.15
1039,Matheus Alexandre,103347,Cuiabá,LAT,0.0,2.7,Atlético-MG,mandante,8.0,8.0
1040,Ayrton Lucas,88393,Flamengo,LAT,8.95,3.25,Goiás,mandante,7.0,7.975
1041,Wanderson,93478,Internacional,ATA,11.7,6.050000000000001,Athletico-PR,mandante,3.75,7.725
1042,Matheus Fernandes,94067,Bragantino,MEI,7.800000000000001,7.55,América-MG,mandante,7.5,7.65
1043,Endrick,115959,Palmeiras,ATA,7.5,3.25,Grêmio,mandante,7.25,7.375
1044,Bruninho,113558,Bragantino,MEI,7.05,6.2,América-MG,mandante,7.5,7.275
1045,Richard Ríos,107111,Palmeiras,MEI,0.0,3.1,Grêmio,mandante,7.25,7.25
1046,Rony,91607,Palmeiras,ATA,0.0,1.1,Grêmio,mandante,7.25,7.25
1047,Vanderlan,107236,Palmeiras,LAT,7.0,0.0,Grêmio,mandante,7.25,7.125
1048,Zé Rafael,82455,Palmeiras,MEI,6.949999999999999,4.449999999999999,Grêmio,mandante,7.25,7.1
