,clube,xP,ranking_xp
0,Palmeiras,9.690000000000001,1
1,Flamengo,9.0,2
2,Fortaleza,8.66,3
3,Atlético-MG,8.450000000000001,4
4,Cruzeiro,8.26,5
5,Bahia,7.909999999999999,6
6,Bragantino,7.32,7
7,América-MG,6.879999999999999,8
8,Botafogo,6.869999999999999,9
9,Fluminense,6.74,10
10,Internacional,6.35,11
11,Santos,6.26,12
12,Athletico-PR,6.169999999999999,13
13,Goiás,6.1,14
14,São Paulo,6.050000000000001,15
15,Coritiba,5.9,16
16,Corinthians,5.79,17
17,Cuiabá,5.77,18
18,Vasco,4.859999999999999,19
19,Grêmio,4.449999999999999,20
