,apelido,atleta_id,clube,posicao,media_casa,media_fora,adversário,mando,media_cedidos,XP_visitante
1250,Marlon,91706,Cruzeiro,LAT,7.15,14.1,Flamengo,visitante,3.0,8.55
1251,Capasso,112913,Vasco,ZAG,0.0,0.0,Fortaleza,visitante,7.666666666666667,7.666666666666667
1252,Paulo Henrique,93716,Vasco,LAT,0.0,0.0,Fortaleza,visitante,7.666666666666667,7.666666666666667
1253,Vitor Jacaré,101201,Bahia,ATA,5.5,8.65,Internacional,visitante,5.666666666666667,7.158333333333333
1254,Gabriel Pec,106199,Vasco,ATA,6.866666666666666,6.149999999999999,Fortaleza,visitante,7.666666666666667,6.908333333333333
1255,Andrey Santos,109591,Vasco,MEI,2.4,5.833333333333333,Fortaleza,visitante,7.666666666666667,6.75
1256,Carabajal,98723,Vasco,MEI,1.6,5.8,Fortaleza,visitante,7.666666666666667,6.733333333333333
1257,Rafael Navarro,105770,Palmeiras,ATA,1.8,9.8,Atlético-MG,visitante,3.3333333333333335,6.566666666666667
1258,Thaciano,87470,Bahia,MEI,8.0,7.3999999999999995,Internacional,visitante,5.666666666666667,6.533333333333333
1259,Igor Formiga,106708,Cruzeiro,LAT,1.2,10.0,Flamengo,visitante,3.0,6.5
1260,Erick Marcus,121184,Vasco,ATA,1.6,5.3,Fortaleza,visitante,7.666666666666667,6.483333333333333
1261,Piquerez,102130,Palmeiras,LAT,0.95,9.333333333333334,Atlético-MG,visitante,3.3333333333333335,6.333333333333334
1262,Henrique Dourado,81905,Cruzeiro,ATA,0.7666666666666666,9.2,Flamengo,visitante,3.0,6.1
1263,Maurício Barbieri,82792,Vasco,TEC,3.526666666666667,4.485,Fortaleza,visitante,7.666666666666667,6.075833333333334
1264,Gilberto,61188,Cruzeiro,ATA,2.6999999999999997,9.1,Flamengo,visitante,3.0,6.05
1265,Puma Rodríguez,99213,Vasco,LAT,4.1,4.275,Fortaleza,visitante,7.666666666666667,5.970833333333333
1266,Léo Jardim,87008,Vasco,GOL,2.3333333333333335,4.25,Fortaleza,visitante,7.666666666666667,5.958333333333334
1267,John Kennedy,110759,Fluminense,ATA,1.2666666666666666,8.5,Corinthians,visitante,3.3333333333333335,5.916666666666667
1268,Bruno Rodrigues,92811,Cruzeiro,ATA,5.475,8.8,Flamengo,visitante,3.0,5.9
1269,Pepa,123907,Cruzeiro,TEC,5.0775,8.793333333333335,Flamengo,visitante,3.0,5.896666666666667
1270,Jair,81091,Vasco,MEI,3.4,4.125,Fortaleza,visitante,7.666666666666667,5.895833333333334
1271,Daniel,93791,Bahia,MEI,1.2,0.0,Internacional,visitante,5.666666666666667,5.666666666666667
1272,Ryan,122300,Bahia,LAT,4.5,0.0,Internacional,visitante,5.666666666666667,5.666666666666667
1273,Kayky,111829,Bahia,ATA,0.3333333333333333,0.0,Internacional,visitante,5.666666666666667,5.666666666666667
1274,Lucas Mugni,81121,Bahia,MEI,-0.3,0.0,Internacional,visitante,5.666666666666667,5.666666666666667
1275,Marcos Leonardo,109497,Santos,ATA,6.75,5.95,Bragantino,visitante,5.375,5.6625
1276,Fábio,37656,Fluminense,GOL,4.333333333333333,7.875,Corinthians,visitante,3.3333333333333335,5.604166666666667
1277,João Paulo,85425,Santos,GOL,6.5,5.833333333333333,Bragantino,visitante,5.375,5.604166666666666
1278,Rwan,115404,Vasco,ATA,-0.6,3.5,Fortaleza,visitante,7.666666666666667,5.583333333333334
1279,Marcos Felipe,85004,Bahia,GOL,0.75,5.5,Internacional,visitante,5.666666666666667,5.583333333333334
1280,Lucas Piton,105584,Vasco,LAT,2.1666666666666665,3.375,Fortaleza,visitante,7.666666666666667,5.520833333333334
1281,Oliveira,94514,Cruzeiro,ZAG,1.625,7.949999999999999,Flamengo,visitante,3.0,5.475
1282,Everaldo,78117,Bahia,ATA,3.8666666666666667,5.1499999999999995,Internacional,visitante,5.666666666666667,5.408333333333333
1283,Galarza,108528,Vasco,MEI,1.0,3.1,Fortaleza,visitante,7.666666666666667,5.383333333333334
1284,Alison,73974,Santos,MEI,1.8,0.0,Bragantino,visitante,5.375,5.375
1285,Vinícius Balieiro,110605,Santos,MEI,-0.3,0.0,Bragantino,visitante,5.375,5.375
1286,João Lucas,104257,Santos,LAT,5.0,0.0,Bragantino,visitante,5.375,5.375
1287,Maicon,71227,Santos,ZAG,8.6,0.0,Bragantino,visitante,5.375,5.375
1288,Ivonei,105899,Santos,MEI,0.0,0.0,Bragantino,visitante,5.375,5.375
1289,Luan Dias,107416,Santos,MEI,-1.6,0.0,Bragantino,visitante,5.375,5.375
